x,y,ele,time,name,group
6.268491,50.845605,159.570374,2022/07/09 12:13:49+00,789,3
6.268451,50.845639,159.180847,2022/07/09 12:13:39+00,788,3
6.268417,50.845673,159.133987,2022/07/09 12:13:30+00,787,3
6.268386,50.84569,158.973801,2022/07/09 12:13:23+00,786,3
6.268327,50.845711,158.627838,2022/07/09 12:12:03+00,785,3
6.268249,50.845722,158.697189,2022/07/09 12:11:50+00,784,3
6.268192,50.845705,159.250748,2022/07/09 12:11:41+00,783,3
6.268119,50.84569,159.301651,2022/07/09 12:11:33+00,782,3
6.268055,50.845646,159.71785,2022/07/09 12:11:25+00,781,3
6.268041,50.845639,159.723877,2022/07/09 12:11:21+00,780,3
6.267985,50.84561,160.445435,2022/07/09 12:11:08+00,779,3
6.267965,50.84558,160.572876,2022/07/09 12:11:02+00,778,3
6.267945,50.845537,160.684799,2022/07/09 12:10:55+00,777,3
6.26794,50.845508,160.76683,2022/07/09 12:10:49+00,776,3
6.267952,50.845488,161.692886,2022/07/09 12:10:42+00,775,3
6.267961,50.845458,162.485229,2022/07/09 12:10:36+00,774,3
6.267976,50.845414,160.970413,2022/07/09 12:10:29+00,773,3
6.267998,50.845385,162.396622,2022/07/09 12:10:24+00,772,3
6.268014,50.845336,162.183929,2022/07/09 12:10:17+00,771,3
6.268,50.8453,161.896255,2022/07/09 12:10:10+00,770,3
6.267974,50.845268,161.462631,2022/07/09 12:10:04+00,769,3
6.267934,50.84523,161.207916,2022/07/09 12:09:55+00,768,3
6.267905,50.845207,161.113647,2022/07/09 12:09:49+00,767,3
6.267874,50.845179,161.137726,2022/07/09 12:09:43+00,766,3
6.267839,50.845145,161.435654,2022/07/09 12:09:38+00,765,3
6.267793,50.845104,161.89946,2022/07/09 12:09:31+00,764,3
6.267732,50.845057,162.055283,2022/07/09 12:09:23+00,763,3
6.26768,50.845013,161.863586,2022/07/09 12:09:16+00,762,3
6.267643,50.844972,161.659744,2022/07/09 12:09:09+00,761,3
6.267595,50.844928,161.075073,2022/07/09 12:09:02+00,760,3
6.267535,50.844862,161.345276,2022/07/09 12:08:52+00,759,3
6.267486,50.84481,161.134109,2022/07/09 12:08:42+00,758,3
6.267461,50.844772,160.851654,2022/07/09 12:08:35+00,757,3
6.267442,50.844751,160.875092,2022/07/09 12:08:29+00,756,3
6.267427,50.844691,160.249374,2022/07/09 12:07:57+00,755,3
6.267406,50.844666,160.219162,2022/07/09 12:07:47+00,754,3
6.267416,50.844628,159.708908,2022/07/09 12:07:25+00,753,3
6.267393,50.844585,159.211868,2022/07/09 12:07:08+00,752,3
6.268025,50.846634,155.101929,2022/07/09 12:00:50+00,751,3
6.26808,50.846412,157.063339,2022/07/09 11:56:39+00,750,2
6.268121,50.846381,157.016983,2022/07/09 11:56:10+00,749,2
6.268198,50.846358,157.571304,2022/07/09 11:55:59+00,748,2
6.268223,50.846335,157.084717,2022/07/09 11:55:29+00,747,2
6.268281,50.846309,157.539581,2022/07/09 11:55:21+00,746,2
6.268338,50.846279,156.997574,2022/07/09 11:55:11+00,745,2
6.268391,50.846243,157.320847,2022/07/09 11:55:02+00,744,2
6.268456,50.846208,157.472198,2022/07/09 11:54:53+00,743,2
6.268508,50.846175,157.507446,2022/07/09 11:54:45+00,742,2
6.268545,50.846155,157.515839,2022/07/09 11:54:40+00,741,2
6.268604,50.846112,157.196442,2022/07/09 11:54:30+00,740,2
6.268662,50.846083,157.906799,2022/07/09 11:54:21+00,739,2
6.268733,50.846046,157.286926,2022/07/09 11:54:13+00,738,2
6.268784,50.84601,157.720459,2022/07/09 11:54:04+00,737,2
6.268846,50.845967,157.611832,2022/07/09 11:53:56+00,736,2
6.26891,50.845925,158.109604,2022/07/09 11:53:48+00,735,2
6.269006,50.845876,157.870178,2022/07/09 11:53:38+00,734,2
6.269089,50.845836,158.030792,2022/07/09 11:53:27+00,733,2
6.269163,50.845797,158.31102,2022/07/09 11:53:17+00,732,2
6.269215,50.845748,158.339111,2022/07/09 11:53:07+00,731,2
6.269169,50.84569,158.237762,2022/07/09 11:52:54+00,730,2
6.269089,50.845634,158.604797,2022/07/09 11:52:41+00,729,2
6.269015,50.845584,158.530151,2022/07/09 11:52:28+00,728,2
6.268939,50.845532,158.886093,2022/07/09 11:52:15+00,727,2
6.268888,50.845491,159.13295,2022/07/09 11:52:02+00,726,2
6.268825,50.845459,158.691162,2022/07/09 11:51:49+00,725,2
6.268768,50.845417,159.328949,2022/07/09 11:51:40+00,724,2
6.268699,50.84537,158.943695,2022/07/09 11:51:28+00,723,2
6.268627,50.845278,159.452728,2022/07/09 11:51:12+00,722,2
6.268608,50.845213,159.092438,2022/07/09 11:51:00+00,721,2
6.268574,50.845166,158.987961,2022/07/09 11:50:47+00,720,2
6.268499,50.845101,159.221527,2022/07/09 11:50:33+00,719,2
6.268438,50.845043,159.002014,2022/07/09 11:50:20+00,718,2
6.268378,50.844991,159.612885,2022/07/09 11:50:05+00,717,2
6.268331,50.844933,159.883224,2022/07/09 11:49:52+00,716,2
6.268235,50.844864,160.25531,2022/07/09 11:49:35+00,715,2
6.268135,50.844808,160.309052,2022/07/09 11:49:23+00,714,2
6.268052,50.844755,160.144531,2022/07/09 11:49:08+00,713,2
6.267971,50.844709,160.590439,2022/07/09 11:48:53+00,712,2
6.267909,50.844673,160.344315,2022/07/09 11:48:40+00,711,2
6.267848,50.844633,160.598862,2022/07/09 11:48:28+00,710,2
6.267809,50.844607,160.434433,2022/07/09 11:48:11+00,709,2
6.267762,50.844582,160.606567,2022/07/09 11:47:40+00,708,2
6.267719,50.844556,160.429413,2022/07/09 11:47:31+00,707,2
6.26766,50.84452,160.19136,2022/07/09 11:47:21+00,706,2
6.267618,50.844502,160.603378,2022/07/09 11:47:12+00,705,2
6.267573,50.844483,160.628983,2022/07/09 11:47:03+00,704,2
6.267495,50.844498,160.22139,2022/07/09 11:46:50+00,703,2
6.267417,50.844524,159.530273,2022/07/09 11:46:38+00,702,2
6.267342,50.844539,159.562134,2022/07/09 11:45:37+00,701,2
6.267254,50.844597,160.074219,2022/07/09 11:45:19+00,700,2
6.267203,50.844626,159.60643,2022/07/09 11:45:06+00,699,2
6.267165,50.844649,159.914169,2022/07/09 11:44:54+00,698,2
6.267129,50.844668,160.213165,2022/07/09 11:44:39+00,697,2
6.267058,50.844721,159.990463,2022/07/09 11:44:18+00,696,2
6.267023,50.844746,159.999191,2022/07/09 11:44:05+00,695,2
6.266959,50.844793,160.148178,2022/07/09 11:43:53+00,694,2
6.26689,50.844845,159.880676,2022/07/09 11:43:41+00,693,2
6.266819,50.844892,159.973206,2022/07/09 11:43:29+00,692,2
6.266757,50.844949,159.67981,2022/07/09 11:43:14+00,691,2
6.266687,50.845005,159.534744,2022/07/09 11:43:01+00,690,2
6.266643,50.845046,160.049011,2022/07/09 11:42:50+00,689,2
6.266565,50.845108,159.067459,2022/07/09 11:42:31+00,688,2
6.266529,50.845154,159.152664,2022/07/09 11:42:14+00,687,2
6.26653,50.845202,159.627594,2022/07/09 11:41:57+00,686,2
6.266567,50.845238,159.149307,2022/07/09 11:41:47+00,685,2
6.266622,50.845277,159.586182,2022/07/09 11:41:36+00,684,2
6.266682,50.845324,159.653046,2022/07/09 11:41:21+00,683,2
6.266734,50.845359,159.449951,2022/07/09 11:41:09+00,682,2
6.266775,50.845397,159.488861,2022/07/09 11:40:55+00,681,2
6.26683,50.845441,159.153214,2022/07/09 11:40:45+00,680,2
6.266879,50.8455,158.560928,2022/07/09 11:40:32+00,679,2
6.266924,50.845544,159.259354,2022/07/09 11:40:20+00,678,2
6.266978,50.845598,158.842545,2022/07/09 11:39:59+00,677,2
6.267026,50.845648,158.792023,2022/07/09 11:39:46+00,676,2
6.267072,50.845695,159.739151,2022/07/09 11:39:33+00,675,2
6.267134,50.845733,159.233337,2022/07/09 11:39:23+00,674,2
6.267217,50.845761,158.725815,2022/07/09 11:39:11+00,673,2
6.267287,50.845784,158.93367,2022/07/09 11:39:01+00,672,2
6.267341,50.845839,158.874298,2022/07/09 11:38:50+00,671,2
6.267397,50.845888,158.328781,2022/07/09 11:38:39+00,670,2
6.267459,50.845938,158.467285,2022/07/09 11:38:25+00,669,2
6.267512,50.845984,158.180649,2022/07/09 11:38:11+00,668,2
6.26756,50.846014,157.980194,2022/07/09 11:37:57+00,667,2
6.267596,50.846053,158.391907,2022/07/09 11:37:36+00,666,2
6.267659,50.846118,158.085632,2022/07/09 11:37:25+00,665,2
6.267715,50.846164,157.782593,2022/07/09 11:37:15+00,664,2
6.267759,50.84622,157.492004,2022/07/09 11:37:04+00,663,2
6.267815,50.846271,157.373627,2022/07/09 11:36:51+00,662,2
6.267866,50.846307,157.760086,2022/07/09 11:36:41+00,661,2
6.267932,50.846355,157.134018,2022/07/09 11:36:31+00,660,2
6.267977,50.846393,156.841873,2022/07/09 11:36:03+00,659,2
6.268009,50.846623,156.005356,2022/07/09 11:34:35+00,658,2
6.268011,50.846628,155.996078,2022/07/09 11:34:28+00,657,2
6.268048,50.846463,154.670166,2022/07/09 11:26:40+00,656,2
6.26802,50.846598,151.837387,2022/07/09 11:08:31+00,655,1
6.26763,50.845986,152.467911,2022/07/09 11:06:01+00,654,1
6.267644,50.846008,152.778976,2022/07/09 11:05:54+00,653,1
6.267685,50.846041,152.104279,2022/07/09 11:05:45+00,652,1
6.267723,50.846077,152.102829,2022/07/09 11:05:37+00,651,1
6.267774,50.846124,152.465744,2022/07/09 11:05:27+00,650,1
6.267817,50.846167,151.995819,2022/07/09 11:05:17+00,649,1
6.267859,50.846208,152.435043,2022/07/09 11:05:08+00,648,1
6.267904,50.846245,151.203918,2022/07/09 11:04:59+00,647,1
6.26795,50.846293,152.163681,2022/07/09 11:04:50+00,646,1
6.268015,50.846337,151.968643,2022/07/09 11:04:40+00,645,1
6.268075,50.846324,152.266571,2022/07/09 11:04:13+00,644,1
6.268107,50.846301,152.148392,2022/07/09 11:04:03+00,643,1
6.268166,50.846278,151.569412,2022/07/09 11:03:53+00,642,1
6.268233,50.846259,151.823807,2022/07/09 11:03:42+00,641,1
6.268268,50.846233,151.784897,2022/07/09 11:03:31+00,640,1
6.268315,50.846213,151.154984,2022/07/09 11:03:20+00,639,1
6.268351,50.846187,151.705521,2022/07/09 11:03:09+00,638,1
6.268393,50.846152,151.724228,2022/07/09 11:02:55+00,637,1
6.268455,50.846122,151.628998,2022/07/09 11:02:44+00,636,1
6.268514,50.84609,151.342682,2022/07/09 11:02:26+00,635,1
6.268565,50.846065,151.029312,2022/07/09 11:02:00+00,634,1
6.268613,50.846037,151.522369,2022/07/09 11:01:48+00,633,1
6.268655,50.846009,151.293503,2022/07/09 11:01:35+00,632,1
6.268693,50.845983,151.21019,2022/07/09 11:01:23+00,631,1
6.268739,50.845944,151.664886,2022/07/09 11:01:10+00,630,1
6.268771,50.845911,151.698364,2022/07/09 11:00:57+00,629,1
6.268817,50.845887,152.174149,2022/07/09 11:00:43+00,628,1
6.268861,50.845868,152.225662,2022/07/09 11:00:32+00,627,1
6.268909,50.845837,152.202026,2022/07/09 11:00:11+00,626,1
6.268962,50.84581,152.316589,2022/07/09 11:00:00+00,625,1
6.269033,50.845781,152.000122,2022/07/09 10:59:35+00,624,1
6.26908,50.845764,151.793976,2022/07/09 10:59:25+00,623,1
6.269145,50.84574,152.80159,2022/07/09 10:59:13+00,622,1
6.269094,50.845708,152.454651,2022/07/09 10:59:03+00,621,1
6.26904,50.845675,152.661423,2022/07/09 10:58:53+00,620,1
6.26899,50.845641,153.288757,2022/07/09 10:58:42+00,619,1
6.268944,50.845602,152.873016,2022/07/09 10:58:31+00,618,1
6.268901,50.845563,152.278,2022/07/09 10:58:14+00,617,1
6.268848,50.845528,152.944641,2022/07/09 10:57:59+00,616,1
6.268796,50.845482,152.792999,2022/07/09 10:57:44+00,615,1
6.268732,50.845498,153.120956,2022/07/09 10:57:26+00,614,1
6.268657,50.84553,154.088135,2022/07/09 10:57:15+00,613,1
6.268575,50.845566,153.993942,2022/07/09 10:57:04+00,612,1
6.268514,50.845613,153.802994,2022/07/09 10:56:53+00,611,1
6.268456,50.845661,153.957611,2022/07/09 10:56:42+00,610,1
6.268402,50.845697,154.29007,2022/07/09 10:56:33+00,609,1
6.268335,50.845733,153.636017,2022/07/09 10:56:21+00,608,1
6.268276,50.845768,154.269608,2022/07/09 10:56:11+00,607,1
6.268221,50.845805,154.351028,2022/07/09 10:56:01+00,606,1
6.268162,50.845844,155.234802,2022/07/09 10:55:49+00,605,1
6.268115,50.845802,154.24498,2022/07/09 10:55:39+00,604,1
6.268065,50.845751,153.959808,2022/07/09 10:55:29+00,603,1
6.268013,50.845702,154.440323,2022/07/09 10:55:20+00,602,1
6.267967,50.84564,154.923203,2022/07/09 10:55:09+00,601,1
6.267913,50.845567,155.826492,2022/07/09 10:54:55+00,600,1
6.267867,50.845509,155.633987,2022/07/09 10:53:32+00,599,1
6.267816,50.845448,156.73201,2022/07/09 10:53:20+00,598,1
6.267852,50.845429,156.234619,2022/07/09 10:53:11+00,597,1
6.26795,50.845404,157.008469,2022/07/09 10:52:59+00,596,1
6.268053,50.845383,156.166656,2022/07/09 10:52:45+00,595,1
6.268043,50.845317,156.681808,2022/07/09 10:52:30+00,594,1
6.268014,50.845261,156.404846,2022/07/09 10:52:09+00,593,1
6.267969,50.845218,156.479065,2022/07/09 10:51:57+00,592,1
6.267886,50.845151,156.212265,2022/07/09 10:51:43+00,591,1
6.267824,50.845107,156.646362,2022/07/09 10:51:32+00,590,1
6.267779,50.84507,156.342285,2022/07/09 10:51:23+00,589,1
6.267727,50.845031,156.517776,2022/07/09 10:51:13+00,588,1
6.26768,50.844991,156.324402,2022/07/09 10:51:04+00,587,1
6.267633,50.84496,156.562592,2022/07/09 10:50:55+00,586,1
6.267574,50.844921,156.42691,2022/07/09 10:50:42+00,585,1
6.267545,50.844884,155.600586,2022/07/09 10:50:34+00,584,1
6.267511,50.844837,155.529633,2022/07/09 10:50:25+00,583,1
6.267488,50.844786,156.115799,2022/07/09 10:50:15+00,582,1
6.267446,50.844733,155.721161,2022/07/09 10:49:58+00,581,1
6.267446,50.844673,155.288116,2022/07/09 10:49:15+00,580,1
6.26742,50.844624,154.899307,2022/07/09 10:49:03+00,579,1
6.2674,50.844583,154.356689,2022/07/09 10:48:48+00,578,1
6.267358,50.844594,154.058594,2022/07/09 10:48:34+00,577,1
6.267303,50.844607,153.869247,2022/07/09 10:48:11+00,576,1
6.267248,50.84463,153.368561,2022/07/09 10:47:58+00,575,1
6.267211,50.844655,153.434357,2022/07/09 10:47:47+00,574,1
6.267159,50.844681,153.443588,2022/07/09 10:47:35+00,573,1
6.267121,50.844716,153.326645,2022/07/09 10:47:25+00,572,1
6.267074,50.84475,153.321854,2022/07/09 10:47:00+00,571,1
6.267038,50.844777,153.278183,2022/07/09 10:46:48+00,570,1
6.266989,50.844806,152.973831,2022/07/09 10:46:36+00,569,1
6.266954,50.844835,152.205017,2022/07/09 10:46:21+00,568,1
6.266921,50.844861,152.447433,2022/07/09 10:46:05+00,567,1
6.266906,50.844884,152.340088,2022/07/09 10:45:50+00,566,1
6.26687,50.844914,152.755219,2022/07/09 10:45:38+00,565,1
6.266828,50.844937,153.024109,2022/07/09 10:45:08+00,564,1
6.266813,50.844962,151.99968,2022/07/09 10:44:49+00,563,1
6.266773,50.844987,152.608002,2022/07/09 10:44:33+00,562,1
6.266771,50.845004,153.038742,2022/07/09 10:44:17+00,561,1
6.266747,50.845034,152.79892,2022/07/09 10:44:08+00,560,1
6.266716,50.845072,153.0327,2022/07/09 10:43:59+00,559,1
6.266654,50.845104,152.309006,2022/07/09 10:43:47+00,558,1
6.266694,50.845142,152.385422,2022/07/09 10:43:37+00,557,1
6.266731,50.845177,152.602798,2022/07/09 10:43:29+00,556,1
6.26676,50.845219,152.196945,2022/07/09 10:43:19+00,555,1
6.266799,50.84526,152.257095,2022/07/09 10:43:08+00,554,1
6.266843,50.8453,152.48558,2022/07/09 10:42:59+00,553,1
6.266881,50.845342,151.492249,2022/07/09 10:42:50+00,552,1
6.266924,50.84538,151.56749,2022/07/09 10:42:40+00,551,1
6.26697,50.84542,151.498001,2022/07/09 10:42:30+00,550,1
6.26702,50.845456,151.108109,2022/07/09 10:42:18+00,549,1
6.267061,50.845491,151.625977,2022/07/09 10:42:04+00,548,1
6.267106,50.845531,152.033737,2022/07/09 10:41:53+00,547,1
6.267154,50.845568,151.68631,2022/07/09 10:41:44+00,546,1
6.267196,50.845602,151.006531,2022/07/09 10:41:35+00,545,1
6.267259,50.845637,151.197708,2022/07/09 10:41:23+00,544,1
6.267308,50.845668,150.833344,2022/07/09 10:41:07+00,543,1
6.267343,50.845697,150.516983,2022/07/09 10:40:35+00,542,1
6.267372,50.845721,150.728867,2022/07/09 10:40:19+00,541,1
6.267411,50.845759,150.622864,2022/07/09 10:40:04+00,540,1
6.267451,50.845796,149.898758,2022/07/09 10:39:46+00,539,1
6.267487,50.845829,150.355164,2022/07/09 10:39:25+00,538,1
6.267536,50.845864,150.090958,2022/07/09 10:38:50+00,537,1
6.267575,50.845895,150.255768,2022/07/09 10:38:27+00,536,1
6.267618,50.845935,149.77951,2022/07/09 10:37:46+00,535,1
6.267636,50.845966,150.080017,2022/07/09 10:37:12+00,534,1
6.267676,50.845994,149.970215,2022/07/09 10:36:19+00,533,1
6.267677,50.84599,150.15918,2022/07/09 10:35:49+00,532,1
6.267677,50.845989,150.425873,2022/07/09 10:35:25+00,531,1
