,station,lat,lon,field,time,student_id,x,y,times,z_dem,field_alt,anomaly,name
0,0,50.846604,6.268004,48990.756,7553,3,307680.2397195162,5636323.689739912,49936.7,156.75,48990.78991052713,473.69200000000274,4
1,1,50.846208,6.268207,48517.064,7666,3,307692.8987989666,5636279.135636484,50049.7,158.22,48517.064,0.0,4
2,2,50.846168,6.268302,48678.375,7680,3,307699.4208494602,5636274.441220359,50063.7,158.46,48678.36949889234,161.3110000000015,4
3,3,50.846119,6.268384,48547.167,7693,3,307704.9908835136,5636268.780088978,50076.7,158.14,48547.16882876017,30.103000000002794,4
4,4,50.84606,6.268478,48503.94,7706,3,307711.3644224416,5636261.975962403,50089.7,158.53,48503.93291986509,-13.123999999996158,4
5,5,50.846003,6.268569,48592.094,7719,3,307717.53504808753,5636255.402006562,50102.7,158.49,48592.08782222329,75.02999999999884,4
6,6,50.845943,6.268641,48629.758,7731,3,307722.3560257782,5636248.544006549,50114.7,158.89,48629.74265808105,112.69400000000314,4
7,7,50.845879,6.26872,48675.369,7744,3,307727.6532650392,5636241.223083451,50127.7,158.95,48675.352268500006,158.3050000000003,4
8,8,50.845793,6.268856,48655.114,7761,3,307736.87203004805,5636231.307897708,50144.7,159.17,48655.09223519228,138.0500000000029,4
9,9,50.845729,6.269013,48787.914,7781,3,307747.6594062017,5636223.783910809,50164.7,158.96,48787.89700008566,270.84999999999854,4
10,10,50.845736,6.268904,48663.209,7797,3,307740.01613436046,5636224.845930226,50180.7,159.24,48663.18562758221,146.14500000000407,4
11,11,50.845612,6.268826,49300.355,7817,3,307734.0160737296,5636211.263283268,50200.7,159.86,49300.31692880269,783.2910000000047,4
12,12,50.84544,6.268786,48929.167,7877,3,307730.4932537924,5636192.245285514,50260.7,159.51,48929.13727921879,412.1030000000028,4
13,13,50.845364,6.268669,49002.812,7890,3,307721.94548151665,5636184.100612425,50273.7,159.99,49002.77115895067,485.7479999999996,4
14,14,50.845227,6.268564,48902.496,7906,3,307713.99142924574,5636169.143013515,50289.7,160.01,48902.45478202252,385.4320000000007,4
15,15,50.84508,6.268451,48959.516,7926,3,307705.43310882687,5636153.094506046,50309.7,160.41,48959.4655125081,442.4520000000048,4
16,16,50.844956,6.268317,48986.375,7944,3,307695.4912183017,5636139.657731248,50327.7,160.57,48986.32079420617,469.3110000000015,4
17,17,50.844847,6.268182,49032.416,7963,3,307685.54059461586,5636127.891207631,50346.7,160.73,49032.35804918652,515.351999999999,4
18,18,50.844739,6.268021,49022.3,7982,3,307673.763970201,5636116.303594419,50365.7,161.15,49022.23236620318,505.2360000000044,4
19,19,50.84465,6.267846,49019.118,7998,3,307661.08003581694,5636106.864801916,50381.7,160.72,49019.06029572021,502.0540000000037,4
20,20,50.844541,6.267658,49209.546,8015,3,307647.398730219,5636095.236397656,50398.7,161.02,49209.48112014477,692.4820000000036,4
21,21,50.844501,6.267491,48927.253,8030,3,307635.47941207263,5636091.224413698,50413.7,161.22,48927.183884644975,410.1889999999985,4
22,22,50.844579,6.267315,49053.853,8054,3,307623.4121334823,5636100.354581014,50437.7,160.55,49053.79918149955,536.7890000000043,4
