,station,lat,lon,field,time,student_id,x,y,times,z_dem,field_alt,anomaly,name
0,0.0,50.846463,6.268048,48924.496,3813.0,1.0,307682.756588104,5636307.899428823,46196.7,156.88,48924.491392564145,85.02999999999884,2
1,1.0,50.846628,6.268011,48924.287,3827.0,1.0,307680.8311447978,5636326.339715163,46210.7,156.68,48924.287,84.82099999999627,2
2,2.0,50.846623,6.268009,48754.645,3939.0,1.0,307680.6698062953,5636325.789047745,46322.7,156.68,48754.645,-84.82100000000355,2
3,3.0,50.846393,6.267977,48841.894,3967.0,1.0,307677.4712953894,5636300.302078294,46350.7,158.48,48841.852603109015,2.4279999999998836,2
4,4.0,50.846355,6.267932,49082.523,3978.0,1.0,307674.1476449418,5636296.194622465,46361.7,158.42,49082.48278585318,243.0570000000007,2
5,5.0,50.846307,6.267866,48751.578,3990.0,1.0,307669.30476417753,5636291.030112998,46373.7,158.7,48751.53162939729,-87.88799999999901,2
6,6.0,50.846271,6.267815,48780.409,4001.0,1.0,307665.56701990747,5636287.160640749,46384.7,158.73,48780.3619128952,-59.0570000000007,2
7,7.0,50.84622,6.267759,48782.12,4013.0,1.0,307661.4156309534,5636281.63656571,46396.7,159.16,48782.063034097504,-57.34599999999773,2
8,8.0,50.846164,6.267715,48742.665,4023.0,1.0,307658.088284243,5636275.525360064,46406.7,159.34,48742.60394889712,-96.80099999999948,2
9,9.0,50.846118,6.267659,48694.236,4033.0,1.0,307653.95745094924,5636270.557166982,46416.7,159.65,48694.167901653025,-145.2300000000032,2
10,10.0,50.846053,6.267596,48645.02,4054.0,1.0,307649.25573741127,5636263.494881265,46437.7,159.44,48644.95678064487,-194.44600000000355,2
11,11.0,50.846014,6.26756,48763.211,4068.0,1.0,307646.5613972596,5636259.252822881,46451.7,159.16,48763.15405617871,-76.25499999999738,2
12,12.0,50.845984,6.267512,48700.045,4083.0,1.0,307643.0594587575,5636256.042602796,46466.7,159.55,48699.97918667428,-139.4210000000021,2
13,13.0,50.845938,6.267459,48553.084,4097.0,1.0,307639.1397534141,5636251.066605964,46480.7,159.73,48553.01427007251,-286.3819999999978,2
14,14.0,50.845888,6.267397,48635.258,4107.0,1.0,307634.5701113477,5636245.669356661,46490.7,160.36,48635.17372446652,-204.20799999999872,2
