,Unnamed: 0,lat,lon,mag_abs,student_id
0,0,50.846463338333336,6.268090740555556,49.130257851736886,300724.0
1,1,50.84659188333333,6.268019068333333,49.30653326851981,300724.0
2,2,50.84634253222223,6.268053366111112,49.62806189400809,300724.0
3,3,50.84631789,6.26801406777778,50.07322949000767,300724.0
4,4,50.84627991833334,6.267989626666666,49.340111759730746,300724.0
5,5,50.84625547722223,6.2679513388888894,48.93527990068708,300724.0
6,6,50.84621553722221,6.2678960366666665,49.050388663155694,300724.0
7,7,50.84617812444444,6.26786836388889,49.09150341578892,300724.0
8,8,50.84615472722223,6.267837731111113,49.285412488664896,300724.0
9,9,50.84611921888889,6.267802777222223,49.22068737574986,300724.0
10,10,50.84609248411763,6.267774746470589,49.468121610369,300724.0
11,11,50.84605946611109,6.26773170611111,49.34133922031948,300724.0
12,12,50.846021829444425,6.267699557777778,49.14470427376883,300724.0
13,13,50.84598983111111,6.2676664933333335,49.38201795305525,300724.0
14,14,50.84635666666667,6.268003948823529,49.62977888924735,300724.0
15,15,50.84632,6.267582149444445,48.806708908081056,300724.0
16,16,50.84625666666669,6.267540713888888,50.51637420654297,300724.0
17,17,50.84620666666669,6.267480322777777,52.75717282976423,300724.0
18,18,50.84616333333335,6.267471017777778,48.99645576477051,300724.0
19,19,50.846105,6.2673725127777775,49.793523624965125,300724.0
20,20,50.846045,6.267335332777777,49.76506887163435,300724.0
21,21,50.845990000000015,6.267264058333335,49.61132627214704,300724.0
22,22,50.84591833333332,6.267168217647058,49.33664676121303,300724.0
23,23,50.845855000000014,6.267097478333333,48.57700124468122,300724.0
24,24,50.84581500000001,6.267044628888889,49.06531600952148,300724.0
25,25,50.84575833333335,6.2670188882352935,49.26373519897461,300724.0
26,26,50.84571500000001,6.2669698872222215,48.98292367117745,300724.0
27,27,50.84568666666667,6.266902587222223,49.19866572788784,300724.0
28,28,50.84563166666669,6.2668421883333325,50.15117661612374,300724.0
29,29,50.84555999999999,6.266795914444445,50.52249281747,300724.0
30,30,50.84550833333333,6.266735764444444,51.07518888201032,300724.0
31,31,50.84544666666669,6.266696735,49.50575659615653,300724.0
32,32,50.84539138888887,6.266718168333335,49.86425999232701,300724.0
33,33,50.84531796296298,6.266748242222223,49.68841220310756,300724.0
34,34,50.845261851851866,6.266990992777778,49.61006306239537,300724.0
35,35,50.845214722222245,6.2669615683333335,49.546822684151785,300724.0
36,36,50.84514833333333,6.266997855,49.63303833007812,300724.0
37,37,50.84506499999999,6.267058534999998,49.296554456438336,300724.0
38,38,50.84501833333332,6.267154981666667,49.23836070469448,300724.0
39,39,50.84492166666667,6.267185557222223,49.06520298549107,300724.0
40,40,50.844875,6.267250321111111,49.28842609950474,300724.0
41,41,50.844796666666646,6.267303719444445,48.9547726222447,300724.0
42,42,50.84474999999999,6.267426850555555,49.54571260724749,300724.0
43,43,50.84468666666668,6.267412086666665,49.23528169904437,300724.0
44,44,50.844638333333336,6.267455587647059,49.66708488464356,300724.0
45,45,50.84456999999999,6.267494671666665,49.82454621451242,300724.0
46,46,50.84465833333332,6.267548274705882,49.78832746233259,300724.0
47,47,50.84474666666666,6.267627247777778,50.1996148790632,300724.0
48,48,50.84482666666667,6.267699394444445,49.84900850568499,300724.0
49,49,50.84491500000001,6.267763402222221,49.53047637939453,300724.0
50,50,50.8449749074074,6.267825871111112,49.37176993233817,300724.0
51,51,50.84504833333335,6.2678951750000005,49.46875980922154,300724.0
52,52,50.84512833333335,6.267943865555555,49.577965927124026,300724.0
53,53,50.84519,6.268003028235293,49.34125693184989,300724.0
54,54,50.84526666666669,6.268020322777778,49.55761566162109,300724.0
55,55,50.84533833333332,6.267920512777777,49.82478174482073,300724.0
56,56,50.84545157407408,6.267854160555555,49.81641224452427,300724.0
57,57,50.84557666666669,6.267911412222222,49.56239504132952,300724.0
58,58,50.84567833333335,6.267943734444444,49.60055923461914,300724.0
59,59,50.845719537037056,6.26798341888889,49.75563828604562,300724.0
60,60,50.8457,6.268021266666668,49.32868603297642,300724.0
61,61,50.845465,6.268102851176471,48.80777980259487,300724.0
62,62,50.84555,6.268145929444445,49.17280703953335,300724.0
63,63,50.84560999999999,6.268238921176471,49.41183062962124,300724.0
64,64,50.84569499999999,6.268330115,49.25294669015067,300724.0
65,65,50.84578,6.268407612222223,49.31786166599819,300724.0
66,66,50.84585000000001,6.268484874444445,48.86118523733956,300724.0
67,67,50.84597666666664,6.268544650555556,48.04491015842983,300724.0
