station,lat,lon,mag_abs,unix_time,student_id
107,50.84563333,6.26707,49.46700865,1657366068,4390933
108,50.84558333,6.267068333,49.19088576,1657366102,4390933
109,50.845535,6.266993333,49.24497484,1657366138,4390933
110,50.84549833,6.266956667,50.14762148,1657366418,4390933
111,50.84547833,6.266941667,49.3167305,1657369458,4390933
112,50.84540333,6.266888333,48.99764813,1657369574,4390933
113,50.84534037,6.266866204,49.73822877,1657369663,4390933
114,50.84534,6.266868333,49.42652272,1657369726,4390933
115,50.84534,6.266868333,49.73574197,1657369831,4390933
116,50.84528167,6.266753333,49.26870172,1657369900,4390933
117,50.84524667,6.266701667,49.55239895,1657369959,4390933
118,50.84520046,6.266650556,49.37543439,1657370087,4390933
119,50.84517,6.266608333,49.62994461,1657370171,4390933
120,50.84515991,6.266598333,49.42106291,1657370247,4390933
121,50.84515,6.266561667,49.25723016,1657370311,4390933
