,Measured distance,Measured anomaly
0,0.40463957275887275,21.82587664202977
1,0.46641035813178733,29.079198893780756
2,0.7311228041327895,14.572554391195041
3,0.8342402949912416,36.33252114553177
4,0.9029595456020606,24.58910660988512
5,0.9322775226959078,31.842428861636115
6,1.0891020667845552,17.335784359050393
7,1.1532392357649992,7.319232139443926
8,1.1608443594808353,39.09575111338712
9,1.2645109436797446,43.58584339728289
10,1.417065734515961,27.352336572793114
11,1.435925044794957,34.6056588245441
12,1.5001968816916116,46.34907336513824
13,1.5423626897781761,20.09901432195838
14,1.5938315412501571,41.85898107629512
15,1.7107401301392668,50.839165649033994
16,1.8556212002406676,49.11230332804624
17,1.8916222006574972,53.60239561688935
18,1.934412379238124,30.11556654064836
19,1.948270179230755,37.36888879239936
20,2.0674077824401964,44.622211044150376
21,2.184255915630239,56.36562557979734
22,2.2753474450714237,51.8755332959015
23,2.4638931072890538,40.13211875530736
24,2.550460715630831,59.1288555476526
25,2.554061585090125,63.618947831548354
26,2.5591380368711962,47.385441007058375
27,2.7298751892091557,54.63876325880948
28,2.8735181463570965,77.492905435511
29,2.9630832615440967,58.89019460891377
30,2.98109349082111,42.89534872316262
31,3.0602837529599185,50.148670974913635
32,3.204429388444877,64.37064097661433
33,3.2301665626086877,92.31160695510174
34,3.2453226481060695,35.85532289563416
35,3.405291701413006,24.189350531706232
36,3.564966840667932,12.820451182354567
37,3.5668785232214457,64.22670885721124
38,3.653528191649775,-8.736578230955516
39,3.6912942792897407,62.021633837963854
40,3.866949356081644,-2.2400096947530024
41,3.9401951388137335,-40.461799636334
42,4.087242835698368,-61.16897599817874
43,4.186176753679386,35.59227356418431
44,4.257536849589435,-74.59319734261578
45,4.341856708739795,-28.669369968532557
46,4.345391062116198,-76.90345206136251
47,4.539160313835166,-92.93101350124942
48,4.635073438080554,-102.51021837220307
49,4.686537609126265,9.16291333772515
50,4.772928434352212,-129.33584992246327
51,4.8261038766211835,-55.0987301949917
52,4.950757606636238,-136.64161608279656
53,5.004351636666373,-119.36037372770859
54,5.038087745675775,-145.07032598365936
55,5.217317777187538,-181.76824768968646
56,5.317139661935314,-81.52809046877131
57,5.3299552752715575,-164.55863716236786
58,5.460941959207923,-197.50272375088258
59,5.479437093351193,-145.78973400148817
60,5.674601337957115,-210.0513775342049
61,5.731315920894986,-213.23719981406637
62,5.89937137654727,-249.93512161198328
63,5.962051912439501,-172.2190942279473
64,6.024839425051539,-228.97167587725022
65,6.141899746118884,-236.48073776066408
66,6.150502234914797,-265.6695976751671
67,6.350150768686974,-300.7423812852629
68,6.424903552135466,-281.4040737383509
69,6.450506318349756,-198.64845450172686
70,6.584110409791323,-318.10199544239026
71,6.617091600380172,-262.91009803444365
72,6.719725171171678,-297.13854980153474
73,6.810828403469168,-327.1717415590424
74,6.841141556850981,-333.83647150557414
75,7.029472145529071,-370.53439330349113
76,7.0985918739122935,-289.3394582609028
77,7.118745572269652,-349.5709475687579
78,7.270776200469938,-386.2688693666749
79,7.279525320105302,-353.6011017855016
80,7.484489561040278,-417.8627453182185
81,7.532563128122816,-402.00334542985877
82,7.71156870564426,-438.7012671338981
83,7.754787607817499,-380.0304620592812
84,7.812774207045472,-417.7378214930426
85,7.947504384750382,-444.29210559199805
86,7.958870059481258,-454.43574319708193
87,8.161711453989142,-491.13366499499887
88,8.224569663807756,-470.17021926026575
89,8.235478697977001,-406.4598222857403
90,8.395764085538186,-506.86814105818263
91,8.417196949584799,-470.7214658184573
92,8.506943781125555,-485.90469532344946
93,8.619739694483277,-534.9831093511741
94,8.648051116357516,-522.6026171213665
95,8.84167592272449,-559.3005388254057
96,8.892509187190326,-497.15082609223685
97,8.9170249776221,-538.3370931845502
98,9.081583928677068,-575.0350148885897
99,9.084460774135984,-561.4124696249536
100,9.295307863575616,-611.7329366865066
101,9.338078656447992,-590.7694909517734
102,9.52379555690746,-627.4674127496903
103,9.554898183508277,-587.8418298514129
104,9.60983205595695,-606.5039670149572
105,9.755583017895193,-652.1034733841296
106,9.768686101527381,-643.2018888128742
107,9.973531648827546,-679.8998105169136
108,10.02877795645424,-658.9363648760578
109,10.030247636685422,-614.2711901251923
110,10.207638311116272,-695.6342865800974
111,10.221604002066838,-678.5328336579094
112,10.302919938449687,-674.670840937254
113,10.429818881753818,-732.3322083780143
114,10.456817825718153,-711.3687626432811
115,10.653903897003783,-748.066684441198
116,10.692619572934712,-704.962193931689
117,10.720019169688948,-727.1032387044773
118,10.891833953133244,-769.2238374644056
119,10.892879665005054,-763.8011605043818
120,11.106601334478071,-800.4990823022987
121,11.145788413321071,-779.5356365655779
122,11.336037771316676,-816.2335583654825
123,11.358877955167355,-795.6531976908649
124,11.411703822073438,-795.2701126287617
125,11.564975345446737,-852.9314800695223
126,11.579271320379359,-831.9680344266787
127,11.785491669441674,-868.6659561327059
128,11.830355301371284,-822.0825579646443
129,11.835451367783284,-847.7025104898624
130,12.01963334918003,-884.4004321939021
131,12.028376985158372,-886.3442014973612
132,12.103755890493279,-863.4369865530463
133,12.240547865466473,-921.0983539938064
134,12.266620179043777,-900.1349082570861
135,12.466145515154933,-936.8328300550025
136,12.49624694189298,-912.7735617238205
137,12.52569232395605,-915.8693843202697
138,12.70060418966192,-973.5307517610295
139,12.70445468224515,-952.5673061181864
140,12.918170100316049,-989.2652278222258
141,12.954773882654543,-968.3017821813702
142,13.148288995489214,-1004.9997038854096
143,13.165136464868631,-1003.4645655303168
144,13.216420723383473,-984.036258244554
145,13.37514822709847,-1041.6976256833264
146,13.390313703808074,-1020.7341799485934
