,x,y,ele,time,group
0,6.267677,50.845989,150.425873,2022/07/09 10:35:25+00,1.0
1,6.267677,50.84599,150.15918,2022/07/09 10:35:49+00,1.0
2,6.267676,50.845994,149.970215,2022/07/09 10:36:19+00,1.0
3,6.267636,50.845966,150.080017,2022/07/09 10:37:12+00,1.0
4,6.267618,50.845935,149.77951,2022/07/09 10:37:46+00,1.0
5,6.267575,50.845895,150.255768,2022/07/09 10:38:27+00,1.0
6,6.267536,50.845864,150.090958,2022/07/09 10:38:50+00,1.0
7,6.267487,50.845829,150.355164,2022/07/09 10:39:25+00,1.0
8,6.267451,50.845796,149.898758,2022/07/09 10:39:46+00,1.0
9,6.267411,50.845759,150.622864,2022/07/09 10:40:04+00,1.0
10,6.267372,50.845721,150.728867,2022/07/09 10:40:19+00,1.0
11,6.267343,50.845697,150.516983,2022/07/09 10:40:35+00,1.0
12,6.267308,50.845668,150.833344,2022/07/09 10:41:07+00,1.0
13,6.267259,50.845637,151.197708,2022/07/09 10:41:23+00,1.0
14,6.267196,50.845602,151.006531,2022/07/09 10:41:35+00,1.0
15,6.267154,50.845568,151.68631,2022/07/09 10:41:44+00,1.0
16,6.267106,50.845531,152.033737,2022/07/09 10:41:53+00,1.0
17,6.267061,50.845491,151.625977,2022/07/09 10:42:04+00,1.0
18,6.26702,50.845456,151.108109,2022/07/09 10:42:18+00,1.0
19,6.26697,50.84542,151.498001,2022/07/09 10:42:30+00,1.0
20,6.266924,50.84538,151.56749,2022/07/09 10:42:40+00,1.0
21,6.266881,50.845342,151.492249,2022/07/09 10:42:50+00,1.0
22,6.266843,50.8453,152.48558,2022/07/09 10:42:59+00,1.0
23,6.266799,50.84526,152.257095,2022/07/09 10:43:08+00,1.0
24,6.26676,50.845219,152.196945,2022/07/09 10:43:19+00,1.0
25,6.266731,50.845177,152.602798,2022/07/09 10:43:29+00,1.0
26,6.266694,50.845142,152.385422,2022/07/09 10:43:37+00,1.0
27,6.266654,50.845104,152.309006,2022/07/09 10:43:47+00,1.0
28,6.266716,50.845072,153.0327,2022/07/09 10:43:59+00,1.0
29,6.266747,50.845034,152.79892,2022/07/09 10:44:08+00,1.0
30,6.266771,50.845004,153.038742,2022/07/09 10:44:17+00,1.0
31,6.266773,50.844987,152.608002,2022/07/09 10:44:33+00,1.0
32,6.266813,50.844962,151.99968,2022/07/09 10:44:49+00,1.0
33,6.266828,50.844937,153.024109,2022/07/09 10:45:08+00,1.0
34,6.26687,50.844914,152.755219,2022/07/09 10:45:38+00,1.0
35,6.266906,50.844884,152.340088,2022/07/09 10:45:50+00,1.0
36,6.266921,50.844861,152.447433,2022/07/09 10:46:05+00,1.0
37,6.266954,50.844835,152.205017,2022/07/09 10:46:21+00,1.0
38,6.266989,50.844806,152.973831,2022/07/09 10:46:36+00,1.0
39,6.267038,50.844777,153.278183,2022/07/09 10:46:48+00,1.0
40,6.267074,50.84475,153.321854,2022/07/09 10:47:00+00,1.0
41,6.267121,50.844716,153.326645,2022/07/09 10:47:25+00,1.0
42,6.267159,50.844681,153.443588,2022/07/09 10:47:35+00,1.0
43,6.267211,50.844655,153.434357,2022/07/09 10:47:47+00,1.0
44,6.267248,50.84463,153.368561,2022/07/09 10:47:58+00,1.0
45,6.267303,50.844607,153.869247,2022/07/09 10:48:11+00,1.0
46,6.267358,50.844594,154.058594,2022/07/09 10:48:34+00,1.0
47,6.2674,50.844583,154.356689,2022/07/09 10:48:48+00,1.0
48,6.26742,50.844624,154.899307,2022/07/09 10:49:03+00,1.0
49,6.267446,50.844673,155.288116,2022/07/09 10:49:15+00,1.0
50,6.267446,50.844733,155.721161,2022/07/09 10:49:58+00,1.0
51,6.267488,50.844786,156.115799,2022/07/09 10:50:15+00,1.0
52,6.267511,50.844837,155.529633,2022/07/09 10:50:25+00,1.0
53,6.267545,50.844884,155.600586,2022/07/09 10:50:34+00,1.0
54,6.267574,50.844921,156.42691,2022/07/09 10:50:42+00,1.0
55,6.267633,50.84496,156.562592,2022/07/09 10:50:55+00,1.0
56,6.26768,50.844991,156.324402,2022/07/09 10:51:04+00,1.0
57,6.267727,50.845031,156.517776,2022/07/09 10:51:13+00,1.0
58,6.267779,50.84507,156.342285,2022/07/09 10:51:23+00,1.0
59,6.267824,50.845107,156.646362,2022/07/09 10:51:32+00,1.0
60,6.267886,50.845151,156.212265,2022/07/09 10:51:43+00,1.0
61,6.267969,50.845218,156.479065,2022/07/09 10:51:57+00,1.0
62,6.268014,50.845261,156.404846,2022/07/09 10:52:09+00,1.0
63,6.268043,50.845317,156.681808,2022/07/09 10:52:30+00,1.0
64,6.268053,50.845383,156.166656,2022/07/09 10:52:45+00,1.0
65,6.26795,50.845404,157.008469,2022/07/09 10:52:59+00,1.0
66,6.267852,50.845429,156.234619,2022/07/09 10:53:11+00,1.0
67,6.267816,50.845448,156.73201,2022/07/09 10:53:20+00,1.0
68,6.267867,50.845509,155.633987,2022/07/09 10:53:32+00,1.0
69,6.267913,50.845567,155.826492,2022/07/09 10:54:55+00,1.0
70,6.267967,50.84564,154.923203,2022/07/09 10:55:09+00,1.0
71,6.268013,50.845702,154.440323,2022/07/09 10:55:20+00,1.0
72,6.268065,50.845751,153.959808,2022/07/09 10:55:29+00,1.0
73,6.268115,50.845802,154.24498,2022/07/09 10:55:39+00,1.0
74,6.268162,50.845844,155.234802,2022/07/09 10:55:49+00,1.0
75,6.268221,50.845805,154.351028,2022/07/09 10:56:01+00,1.0
76,6.268276,50.845768,154.269608,2022/07/09 10:56:11+00,1.0
77,6.268335,50.845733,153.636017,2022/07/09 10:56:21+00,1.0
78,6.268402,50.845697,154.29007,2022/07/09 10:56:33+00,1.0
79,6.268456,50.845661,153.957611,2022/07/09 10:56:42+00,1.0
80,6.268514,50.845613,153.802994,2022/07/09 10:56:53+00,1.0
81,6.268575,50.845566,153.993942,2022/07/09 10:57:04+00,1.0
82,6.268657,50.84553,154.088135,2022/07/09 10:57:15+00,1.0
83,6.268732,50.845498,153.120956,2022/07/09 10:57:26+00,1.0
84,6.268796,50.845482,152.792999,2022/07/09 10:57:44+00,1.0
85,6.268848,50.845528,152.944641,2022/07/09 10:57:59+00,1.0
86,6.268901,50.845563,152.278,2022/07/09 10:58:14+00,1.0
87,6.268944,50.845602,152.873016,2022/07/09 10:58:31+00,1.0
88,6.26899,50.845641,153.288757,2022/07/09 10:58:42+00,1.0
89,6.26904,50.845675,152.661423,2022/07/09 10:58:53+00,1.0
90,6.269094,50.845708,152.454651,2022/07/09 10:59:03+00,1.0
91,6.269145,50.84574,152.80159,2022/07/09 10:59:13+00,1.0
92,6.26908,50.845764,151.793976,2022/07/09 10:59:25+00,1.0
93,6.269033,50.845781,152.000122,2022/07/09 10:59:35+00,1.0
94,6.268962,50.84581,152.316589,2022/07/09 11:00:00+00,1.0
95,6.268909,50.845837,152.202026,2022/07/09 11:00:11+00,1.0
96,6.268861,50.845868,152.225662,2022/07/09 11:00:32+00,1.0
97,6.268817,50.845887,152.174149,2022/07/09 11:00:43+00,1.0
98,6.268771,50.845911,151.698364,2022/07/09 11:00:57+00,1.0
99,6.268739,50.845944,151.664886,2022/07/09 11:01:10+00,1.0
100,6.268693,50.845983,151.21019,2022/07/09 11:01:23+00,1.0
101,6.268655,50.846009,151.293503,2022/07/09 11:01:35+00,1.0
102,6.268613,50.846037,151.522369,2022/07/09 11:01:48+00,1.0
103,6.268565,50.846065,151.029312,2022/07/09 11:02:00+00,1.0
104,6.268514,50.84609,151.342682,2022/07/09 11:02:26+00,1.0
105,6.268455,50.846122,151.628998,2022/07/09 11:02:44+00,1.0
106,6.268393,50.846152,151.724228,2022/07/09 11:02:55+00,1.0
107,6.268351,50.846187,151.705521,2022/07/09 11:03:09+00,1.0
108,6.268315,50.846213,151.154984,2022/07/09 11:03:20+00,1.0
109,6.268268,50.846233,151.784897,2022/07/09 11:03:31+00,1.0
110,6.268233,50.846259,151.823807,2022/07/09 11:03:42+00,1.0
111,6.268166,50.846278,151.569412,2022/07/09 11:03:53+00,1.0
112,6.268107,50.846301,152.148392,2022/07/09 11:04:03+00,1.0
113,6.268075,50.846324,152.266571,2022/07/09 11:04:13+00,1.0
114,6.268015,50.846337,151.968643,2022/07/09 11:04:40+00,1.0
115,6.26795,50.846293,152.163681,2022/07/09 11:04:50+00,1.0
116,6.267904,50.846245,151.203918,2022/07/09 11:04:59+00,1.0
117,6.267859,50.846208,152.435043,2022/07/09 11:05:08+00,1.0
118,6.267817,50.846167,151.995819,2022/07/09 11:05:17+00,1.0
119,6.267774,50.846124,152.465744,2022/07/09 11:05:27+00,1.0
120,6.267723,50.846077,152.102829,2022/07/09 11:05:37+00,1.0
121,6.267685,50.846041,152.104279,2022/07/09 11:05:45+00,1.0
122,6.267644,50.846008,152.778976,2022/07/09 11:05:54+00,1.0
123,6.26763,50.845986,152.467911,2022/07/09 11:06:01+00,1.0
124,6.26802,50.846598,151.837387,2022/07/09 11:08:31+00,1.0
