,x,y,ele,time,group
0,6.268004,50.846604,155.450577,2022/07/09 12:36:29+00,4.0
1,6.268207,50.846208,157.760345,2022/07/09 12:38:12+00,4.0
2,6.268302,50.846168,157.684235,2022/07/09 12:38:25+00,4.0
3,6.268384,50.846119,158.280884,2022/07/09 12:38:39+00,4.0
4,6.268478,50.84606,158.367111,2022/07/09 12:38:52+00,4.0
5,6.268569,50.846003,158.507843,2022/07/09 12:39:06+00,4.0
6,6.268641,50.845943,159.332443,2022/07/09 12:39:18+00,4.0
7,6.26872,50.845879,159.166412,2022/07/09 12:39:30+00,4.0
8,6.268856,50.845793,159.310165,2022/07/09 12:39:48+00,4.0
9,6.269013,50.845729,159.378693,2022/07/09 12:40:07+00,4.0
10,6.268904,50.845736,159.919312,2022/07/09 12:40:24+00,4.0
11,6.268826,50.845612,160.309204,2022/07/09 12:40:45+00,4.0
12,6.268786,50.84544,160.300919,2022/07/09 12:41:41+00,4.0
13,6.268669,50.845364,160.495956,2022/07/09 12:41:53+00,4.0
14,6.268564,50.845227,160.109375,2022/07/09 12:42:09+00,4.0
15,6.268451,50.84508,161.115509,2022/07/09 12:42:29+00,4.0
16,6.268317,50.844956,161.261978,2022/07/09 12:42:46+00,4.0
17,6.268182,50.844847,161.583191,2022/07/09 12:43:06+00,4.0
18,6.268021,50.844739,161.658539,2022/07/09 12:43:24+00,4.0
19,6.267846,50.84465,162.140564,2022/07/09 12:43:41+00,4.0
20,6.267658,50.844541,162.166489,2022/07/09 12:43:59+00,4.0
21,6.267491,50.844501,161.998947,2022/07/09 12:44:14+00,4.0
22,6.267315,50.844579,161.740173,2022/07/09 12:44:36+00,4.0
