,x,y,ele,time,group
0,6.268014,50.846621,158.003769,2022/07/09 12:59:32+00,5.0
1,6.267648,50.846446,157.955795,2022/07/09 13:00:24+00,5.0
2,6.26754,50.846411,157.847916,2022/07/09 13:00:42+00,5.0
3,6.267234,50.846286,157.47261,2022/07/09 13:01:11+00,5.0
4,6.267043,50.846181,157.725708,2022/07/09 13:01:34+00,5.0
5,6.266868,50.846079,158.044891,2022/07/09 13:01:51+00,5.0
6,6.266735,50.845983,158.107956,2022/07/09 13:02:07+00,5.0
7,6.266578,50.845845,158.331512,2022/07/09 13:02:27+00,5.0
8,6.266411,50.845652,159.092728,2022/07/09 13:02:49+00,5.0
9,6.266335,50.84545,159.310257,2022/07/09 13:03:10+00,5.0
10,6.266263,50.845196,158.923325,2022/07/09 13:03:34+00,5.0
11,6.26637,50.845014,159.244308,2022/07/09 13:03:54+00,5.0
12,6.266515,50.844851,158.542664,2022/07/09 13:04:14+00,5.0
13,6.266652,50.84467,159.186417,2022/07/09 13:04:33+00,5.0
14,6.266801,50.844486,159.222443,2022/07/09 13:04:54+00,5.0
15,6.267029,50.844227,159.559616,2022/07/09 13:05:20+00,5.0
16,6.268331,50.846386,156.646912,2022/07/09 13:09:39+00,5.0
17,6.268519,50.846262,155.366486,2022/07/09 13:12:53+00,5.0
18,6.268945,50.846036,155.579849,2022/07/09 13:13:24+00,5.0
19,6.269446,50.845823,154.928299,2022/07/09 13:14:01+00,5.0
20,6.269633,50.845738,154.416275,2022/07/09 13:14:24+00,5.0
21,6.269678,50.845613,155.46373,2022/07/09 13:14:43+00,5.0
22,6.26969,50.845532,155.092209,2022/07/09 13:15:00+00,5.0
23,6.269604,50.845502,155.938248,2022/07/09 13:15:14+00,5.0
24,6.26952,50.845435,155.016052,2022/07/09 13:15:25+00,5.0
25,6.269485,50.845354,155.426544,2022/07/09 13:15:37+00,5.0
26,6.269457,50.845271,155.359497,2022/07/09 13:15:50+00,5.0
27,6.269414,50.845184,155.364365,2022/07/09 13:16:04+00,5.0
28,6.269204,50.84511,155.058914,2022/07/09 13:16:19+00,5.0
29,6.269038,50.845057,154.771683,2022/07/09 13:16:31+00,5.0
30,6.268878,50.845001,155.050507,2022/07/09 13:16:46+00,5.0
31,6.268735,50.844885,155.578857,2022/07/09 13:17:16+00,5.0
