,lat,lon,mag,student_id
0,50.84527423,6.268035,49.04786491,439093
1,50.84523628,6.266586667,49.6745751,439093
2,50.84519215,6.266648333,49.34212766,439093
3,50.84517533,6.26669,49.39590345,439093
4,50.84513918,6.266721667,50.02520409,439093
5,50.84513009,6.266765,49.08282907,439093
6,50.84660773,6.266838333,49.57285254,439093
7,50.84508419,6.2669,49.42204954,439093
8,50.84503515,6.266966667,49.59029061,439093
9,50.84498763,6.267026667,49.8999224,439093
10,50.84496981,6.267051667,50.22773509,439093
11,50.84495032,6.267139804,49.09540085,439093
12,50.84491257,6.267203333,50.00150354,439093
13,50.84485733,6.267319907,49.64720618,439093
14,50.84484179,6.267395,49.75504303,439093
15,50.84480873,6.267428333,49.63534119,439093
16,50.84475856,6.26746,49.74499877,439093
17,50.84472649,6.267463333,49.3287646,439093
18,50.84469703,6.267463824,50.36510221,439093
19,50.84465429,6.267485,50.03057269,439093
20,50.84456268,6.267515,49.8764994,439093
21,50.84453275,6.26757,50.05876844,439093
22,50.8445826,6.267623333,50.27052213,439093
23,50.84463701,6.267665,50.22880734,439093
24,50.84467102,6.267706389,50.37618376,439093
25,50.84474708,6.267778333,49.72858687,439093
26,50.84479577,6.267808333,49.81838519,439093
27,50.84485863,6.267868333,49.98045823,439093
28,50.84491899,6.26792,50.10439197,439093
29,50.84493949,6.267933333,49.66613233,439093
30,50.84499492,6.26798,49.33154847,439093
31,50.84503748,6.26803,49.63847237,439093
32,50.8450871,6.268053333,49.56768577,439093
33,50.84514234,6.268043333,49.89206233,439093
34,50.84518984,6.267995,49.65978391,439093
35,50.84523644,6.267995098,49.4641771,439093
36,50.84527728,6.26796,49.93260809,439093
37,50.84531669,6.267953981,49.89475542,439093
38,50.84537856,6.267951667,49.78458557,439093
39,50.8454242,6.268008333,49.35815026,439093
40,50.84550613,6.26807,49.82103498,439093
41,50.84556722,6.26812,49.97398553,439093
42,50.84560777,6.268213333,49.10703132,439093
43,50.84566086,6.268273333,49.59675678,439093
44,50.84570712,6.26837,49.51972615,439093
45,50.84567885,6.268421373,49.41002025,439093
46,50.84572164,6.268481667,49.47856031,439093
47,50.84571801,6.268545,49.59219698,439093
48,50.84569521,6.268566667,49.69799025,439093
49,50.84561808,6.268618333,49.34006091,439093
50,50.84561775,6.268748333,50.19116708,439093
51,50.84555936,6.268825,49.99229329,439093
52,50.84554536,6.268863333,50.01301558,439093
53,50.8455083,6.268948333,49.76253796,439093
54,50.84553547,6.269005,49.40733648,439093
55,50.84556837,6.269081667,49.38745362,439093
56,50.84561709,6.269115,49.70583692,439093
57,50.84570524,6.269188333,49.53906701,439093
58,50.84574024,6.269133333,49.32351379,439093
59,50.84576502,6.269067549,48.734405,439093
60,50.84581505,6.269011176,48.93992664,439093
61,50.84582558,6.268957157,49.23028148,439093
62,50.84585803,6.268895,49.05968182,439093
63,50.84589781,6.268871373,49.51186082,439093
64,50.84592717,6.26879,49.4091859,439093
65,50.84594837,6.268728333,49.18818061,439093
66,50.84599469,6.268668796,49.43658167,439093
67,50.84602376,6.267996667,49.34401071,439093
