,station,lat,lon,altitude,mag_x_,mag_y,mag_z,field,mag_abs_std,time,unix_time,mag_count,student_id,x,y,times,name
0,0.0,50.77540252,6.098364442,172.3741198,20.74236462,-0.2498429757,-42.32312558,47134.77842,0.2841637566,65.455,1656241608.0,51.0,0.0,295429.44610274566,5628863.673474316,47208.0,Random
6,6.0,50.77538908,6.098387318,163.0112615,20.08345589,0.8252633489,-42.28950625,46824.94039,0.260697735,315.47,1656241858.0,52.0,0.0,295430.99995872204,5628862.116020028,47458.0,Random
11,11.0,50.7753986,6.098392962,169.2556065,20.13895272,-0.521281859,-42.59327014,47118.7266,0.3157766464,539.257,1656242082.0,58.0,0.0,295431.43935917434,5628863.158746322,47682.0,Random
