station,lat,lon,mag_abs,time,LINE
0,0,0,48988.021,5413,2
1,0,0,49131.416,5789,2
2,0,0,49258.749,5806,2
3,0,0,49246.682,5819,2
4,0,0,49381.218,5848,2
5,0,0,49436.526,5855,2
6,0,0,49500.189,5883,2
7,0,0,49475.902,5888,2
8,0,0,49462.007,5900,2
9,0,0,49458.744,5909,2
10,0,0,49700.944,5920,2
11,0,0,49694.414,5927,2
12,0,0,49732.302,5933,2
13,0,0,49466.075,5941,2
14,0,0,49209.346,5948,2
15,0,0,49305.974,5955,2
16,0,0,49318.943,5961,2
17,0,0,49334.674,5968,2
18,0,0,49382.715,5974,2
19,0,0,49070.381,5981,2
20,0,0,49061.51,5987,2
21,0,0,49275.863,5994,2
22,0,0,49317.303,6001,2
23,0,0,49343.541,6006,2
24,0,0,49317.269,6013,2
25,0,0,49310.574,6020,2
26,0,0,49317.861,6026,2
27,0,0,49290.063,6032,2
28,0,0,49207.246,6039,2
29,0,0,49152.348,6045,2
30,0,0,49137,6055,2
31,0,0,49144.223,6063,2
32,0,0,48995.072,6072,2
33,0,0,48949.389,6080,2
34,0,0,48916.282,6087,2
35,0,0,48957.072,6101,2
36,0,0,48942.801,6179,2
37,0,0,48946.328,6189,2
38,0,0,49047.915,6197,2
39,0,0,49142.311,6204,2
40,0,0,49191.573,6214,2
41,0,0,49310.506,6220,2
42,0,0,49372.513,6225,2
43,0,0,49413.013,6235,2
44,0,0,49473.371,6241,2
45,0,0,49574.201,6254,2
46,0,0,49584.576,6264,2
47,0,0,49151.549,6287,2
48,0,0,49022.336,6295,2
49,0,0,49110.197,6301,2
50,0,0,49065.625,6309,2
51,0,0,48911.319,6318,2
52,0,0,48882.035,6327,2
53,0,0,48898.266,6335,2
54,0,0,48920.168,6342,2
55,0,0,48959.234,6348,2
56,0,0,48916.951,6354,2
57,0,0,48889.429,6361,2
58,0,0,48809.907,6368,2
59,0,0,48757.065,6375,2
60,0,0,48690.074,6385,2
61,0,0,48694.002,6393,2
62,0,0,48645.376,6402,2
63,0,0,48714.459,6410,2
64,0,0,48874.605,6418,2
65,0,0,48544.156,6427,2
66,0,0,48684.929,6434,2
67,0,0,48804.478,6441,2
68,0,0,48571.678,6453,2
69,0,0,48815.55,6461,2
70,0,0,48710.793,6468,2
71,0,0,48607.161,6474,2
72,0,0,48924.744,6481,2
73,0,0,48181.919,6491,2
74,0,0,48828.792,6502,2
75,0,0,49044.26,6511,2
76,0,0,48993.597,6541,2
77,0,0,48918.625,6639,2
78,0,0,48914.268,7523,2
