station,lat,lon,mag_abs,time,LINE
0,0,0,48845.01,0,0
1,0,0,48409.265,175,0
2,0,0,48370.503,406,0
3,0,0,48537.032,443,0
4,0,0,48459.021,485,0
5,0,0,48557.313,506,0
6,0,0,48466.997,542,0
7,0,0,48488.297,562,0
8,0,0,48448.02,583,0
9,0,0,48556.099,596,0
10,0,0,48523.291,612,0
11,0,0,48533.481,644,0
12,0,0,48628.091,659,0
13,0,0,48725.941,672,0
14,0,0,48704.925,681,0
15,0,0,48726.765,691,0
16,0,0,48640.988,702,0
17,0,0,48665.563,715,0
18,0,0,48725.77,728,0
19,0,0,48667.113,738,0
20,0,0,48650.041,748,0
21,0,0,48631.423,757,0
22,0,0,48615.771,766,0
23,0,0,48615.914,778,0
24,0,0,48884.437,787,0
25,0,0,48876.531,795,0
26,0,0,48951.126,805,0
27,0,0,49143.999,816,0
28,0,0,49156.495,826,0
29,0,0,49194.502,836,0
30,0,0,48991.462,849,0
31,0,0,49041.282,866,0
32,0,0,49135.88,879,0
33,0,0,49154.034,916,0
34,0,0,49246.165,928,0
35,0,0,49165.214,944,0
36,0,0,49121.664,959,0
37,0,0,49072.913,975,0
38,0,0,49056.855,986,0
39,0,0,49054.547,997,0
40,0,0,49048.401,1023,0
41,0,0,49082.186,1034,0
42,0,0,49018.591,1044,0
43,0,0,49026.705,1055,0
44,0,0,48913.784,1069,0
45,0,0,49380.034,1108,0
46,0,0,49763.703,1117,0
47,0,0,49242.159,1132,0
48,0,0,49482.108,1176,0
49,0,0,49488.964,1191,0
50,0,0,49457.61,1203,0
51,0,0,49526.948,1211,0
52,0,0,49597.747,1220,0
53,0,0,49596.041,1222,0
54,0,0,49728.865,1233,0
55,0,0,49788.943,1242,0
56,0,0,49686.861,1250,0
57,0,0,49434.777,1260,0
58,0,0,49290.524,1270,0
59,0,0,49404.698,1280,0
60,0,0,49260.531,1294,0
61,0,0,49114.236,1306,0
62,0,0,49247.204,1326,0
63,0,0,49395.436,1343,0
64,0,0,49267.952,1356,0
65,0,0,49259.866,1367,0
66,0,0,49259.247,1369,0
67,0,0,49266.805,1377,0
68,0,0,49374.097,1390,0
69,0,0,49419.753,1472,0
70,0,0,49169.391,1486,0
71,0,0,49163.447,1497,0
72,0,0,49060.694,1507,0
73,0,0,49021.355,1517,0
74,0,0,49037.406,1526,0
75,0,0,49025.806,1538,0
76,0,0,48962.642,1549,0
77,0,0,48978.49,1559,0
78,0,0,48932.493,1570,0
79,0,0,48988.965,1580,0
80,0,0,49124.253,1590,0
81,0,0,49380.283,1602,0
82,0,0,49431.48,1613,0
83,0,0,49619.177,1624,0
84,0,0,49510.11,1643,0
85,0,0,49519.616,1657,0
86,0,0,49530.033,1658,0
87,0,0,49536.016,1672,0
88,0,0,49506.873,1687,0
89,0,0,49319.969,1699,0
90,0,0,49106.966,1711,0
91,0,0,48895.116,1721,0
92,0,0,48785.22,1731,0
93,0,0,48717.448,1742,0
94,0,0,48643.502,1752,0
95,0,0,48574.335,1778,0
96,0,0,48571.514,1789,0
97,0,0,0,1808,0
98,0,0,41777.601,1820,0
99,0,0,48548.688,1835,0
100,0,0,48516.398,1847,0
101,0,0,48620.599,1861,0
102,0,0,48623.854,1872,0
103,0,0,48648.001,1884,0
104,0,0,48650.327,1898,0
105,0,0,48701.372,1923,0
106,0,0,48538.257,1942,0
107,0,0,48700.211,1954,0
108,0,0,48556.777,1967,0
109,0,0,48818.86,1977,0
110,0,0,48515.6,1990,0
111,0,0,48548.374,2000,0
112,0,0,48583.377,2011,0
113,0,0,48686.575,2021,0
114,0,0,45832.806,2030,0
115,0,0,48774.48,2056,0
116,0,0,48549.968,2067,0
117,0,0,0,2076,0
118,0,0,43093.159,2085,0
119,0,0,0,2088,0
120,0,0,48463.975,2096,0
121,0,0,0,2104,0
122,0,0,0,2114,0
123,0,0,0,2115,0
124,0,0,39905.812,2123,0
125,0,0,0,2131,0
126,0,0,42359.904,2140,0
127,0,0,0,2384,0
128,0,0,34016.388,2465,0
