station,lat,lon,mag_abs,time,LINE
0,15,460,48990.756,7553,3
1,15,440,48517.064,7666,3
2,15,420,48678.375,7680,3
3,15,400,48547.167,7693,3
4,15,380,48503.94,7706,3
5,15,360,48592.094,7719,3
6,15,340,48629.758,7731,3
7,15,320,48675.369,7744,3
8,15,300,48655.114,7761,3
9,15,280,48787.914,7781,3
10,15,260,48663.209,7797,3
11,15,240,49300.355,7817,3
12,15,220,48929.167,7877,3
13,15,200,49002.812,7890,3
14,15,180,48902.496,7906,3
15,15,160,48959.516,7926,3
16,15,140,48986.375,7944,3
17,15,120,49032.416,7963,3
18,15,100,49022.3,7982,3
19,15,80,49019.118,7998,3
20,15,60,49209.546,8015,3
21,15,40,48927.253,8030,3
22,15,20,49053.853,8054,3
23,15,0,48799.251,8914,3
