station,lat,lon,mag_abs,time,LINE
0,50.846621,6.268014,48948.571,8931,4
1,50.846446,6.267648,48807.804,8994,4
2,50.846411,6.26754,49074.997,9011,4
3,50.846286,6.267234,49000.334,9041,4
4,50.846181,6.267043,48897.801,9063,4
5,50.846079,6.266868,49137.335,9083,4
6,50.845983,6.266735,48912.846,9100,4
7,50.845845,6.266578,48902.117,9119,4
8,50.845652,6.266411,48881.365,9142,4
9,50.84545,6.266335,48854.819,9163,4
10,50.845196,6.266263,48838.506,9187,4
11,50.845014,6.26637,48917.108,9208,4
12,50.844851,6.266515,48903.943,9226,4
13,50.84467,6.266652,48935.673,9247,4
14,50.844486,6.266801,48891.6,9268,4
15,50.844227,6.267029,48943.906,9294,4
16,50.846386,6.268331,48940.167,9551,4
17,50.846262,6.268519,48932.468,9748,4
18,50.846036,6.268945,48764.29,9780,4
19,50.845823,6.269446,48903.952,9812,4
20,50.845738,6.269633,48959.384,9838,4
21,50.845613,6.269678,48964.104,9859,4
22,50.845532,6.26969,48968.876,9876,4
23,50.845502,6.269604,48934.713,9888,4
24,50.845435,6.26952,48933.617,9901,4
25,50.845354,6.269485,48974.939,9912,4
26,50.845271,6.269457,48918.2,9925,4
27,50.845184,6.269414,48934.657,9937,4
28,50.84511,6.269204,48958.203,9953,4
29,50.845057,6.269038,48975.54,9966,4
30,50.845001,6.268878,48912.468,9978,4
31,50.844885,6.268735,48937.675,10005,4
