,Measured distance,Measured anomaly
0,15.322928802235369,-156.31300000000192
1,20.666801511988194,-302.9930000000022
2,25.75020923387874,-27.07499999999709
3,31.989346243521112,-89.59799999999814
4,39.26661822048876,-18.96199999999953
5,45.08031746342812,-56.71699999999692
6,76.80748091172416,-70.24799999999959
7,89.04762663883704,-151.76900000000023
8,95.76420378694532,-204.20799999999872
9,102.83498833138778,-286.3819999999978
10,109.16114613697297,-139.4210000000021
11,113.88325978436768,-76.25499999999738
12,118.85053757554057,-194.44600000000355
13,127.27048385465734,-145.2300000000032
14,133.73115535671639,-96.80099999999948
