,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
18,18,18.0,50.84604333,6.268223333,153.5860772,19.12864821,-2.582043958,-44.57829415,48579.11862,0.313450493,3961.707,1657362695.0,70.0,428426.0,307693.3710213716,5636260.785867819,45095.0,159.98,48579.04839519507,-213.17435499999556,428426
20,20,20.0,50.84588333,6.26836,155.5856008,18.53996201,-2.373655728,-44.00027755,47807.51746,0.276331125,4077.996,1657362811.0,0.0,428426.0,307702.3322473744,5636242.641911291,45211.0,160.72,47807.431692331935,-984.7755149999939,428426
21,21,21.0,50.84568167,6.268643333,157.4849283,19.19453632,-2.674229687,-44.56112556,48594.10613,0.351444981,4217.328,1657362950.0,70.0,428426.0,307721.44541194674,5636219.484496057,45350.0,161.29,48594.00590869237,-198.18684499999654,428426
22,22,22.0,50.84573667,6.268625,158.8850735,19.34683268,-1.997466551,-44.38375784,48459.48661,0.275614438,4459.129,1657363192.0,70.0,428426.0,307720.3812371417,5636225.646873782,45592.0,160.95,48459.394424508224,-332.80636499999673,428426
23,23,23.0,50.84579333,6.268553333,158.0852573,19.12414641,-1.551496081,-44.41008557,48379.082429999995,0.343337087,4541.087,1657363274.0,70.0,428426.0,307715.56993872055,5636232.132682418,45674.0,160.81,48378.993586705226,-413.21054500000173,428426
24,24,24.0,50.84583333,6.268516667,158.0853781,19.30258617,-0.663823629,-44.8405383,48824.45542,0.299559922,4639.984,1657363373.0,70.0,428426.0,307713.1536978255,5636236.6751718605,45773.0,160.66,48824.36920732549,32.16244500000175,428426
25,25,25.0,50.84590667,6.268465,156.8855893,18.82505373,-1.274504212,-44.24857603,48104.74428,0.303614467,4723.486,1657363456.0,70.0,428426.0,307709.81873953633,5636244.9633098,45856.0,160.46,48104.66386839456,-687.5486949999977,428426
26,26,26.0,50.84595167,6.268443333,154.9857124,18.05870688,-2.650237628,-43.88835068,47534.0853,0.292934531,4809.578,1657363542.0,70.0,428426.0,307708.47878915037,5636250.022619819,45942.0,160.41,47534.00696142597,-1258.2076749999978,428426
27,27,27.0,50.84597667,6.268408333,157.8857957,18.61303646,-3.575957087,-43.97388862,47886.79602,0.326819833,4901.46,1657363634.0,70.0,428426.0,307706.11812732625,5636252.893145393,46034.0,160.37,47886.71800208116,-905.4969549999951,428426
28,28,28.0,50.84603167,6.2683,157.6859992,18.99029214,-2.342690977,-44.28289517,48241.06538,0.333655057,5003.403,1657363736.0,70.0,428426.0,307698.7192949923,5636259.289903342,46136.0,160.13,48240.99223657768,-551.2275949999967,428426
29,29,29.0,50.84609167,6.268243333,156.9861814,19.18119098,-1.958615897,-44.04121448,48078.53661,0.343376396,5129.193,1657363862.0,70.0,428426.0,307694.97757633345,5636266.107994883,46262.0,159.69,48078.47367407625,-713.7563649999938,428426
30,30,30.0,50.846595,6.268023333,155.5875442,19.50468355,1.958683426,-44.53686011,48662.23662,0.328370568,5243.784,1657363977.0,70.0,428426.0,307681.5634388364,5636322.638809881,46377.0,156.77,48662.23982791664,-130.05635499999335,428426
31,31,31.0,50.84612139,6.268066574,157.1419236,18.39934878,-3.228869997,-43.85340603,47669.814029999994,0.272802281,5536.756,1657364270.0,70.0,428426.0,307682.6586011058,5636269.8724681195,46670.0,159.43,47669.75746515406,-1122.4789450000026,428426
32,32,32.0,50.84608,6.268043333,156.3862827,19.10286833,-1.804655904,-43.88893983,47901.66615,0.318571568,5868.09,1657364601.0,70.0,428426.0,307680.8525062696,5636265.331453767,47001.0,159.66,47901.60412226937,-890.6268249999994,428426
33,33,33.0,50.84602833,6.268031667,156.686165,19.32465142,0.337175664,-44.32961649,48361.044200000004,0.340865136,5969.996,1657364703.0,70.0,428426.0,307679.8188293123,5636259.617411299,47103.0,159.96,48360.97474587463,-431.24877499999275,428426
34,34,34.0,50.84598333,6.267966667,155.5860981,19.56273657,1.086288105,-44.279682,48422.20345,0.34174084,6072.381,1657364805.0,70.0,428426.0,307675.0586513615,5636254.783817367,47205.0,160.19,48422.12866389786,-370.0895249999958,428426
35,35,35.0,50.84596,6.26799,154.8860264,18.89504296,-2.225607601,-44.48512993,48384.467749999996,0.281854409,6185.544,1657364918.0,70.0,428426.0,307676.6049784675,5636252.129326821,47318.0,160.42,48384.38778212426,-407.8252250000005,428426
36,36,36.0,50.845895,6.268045,158.6858331,19.3194321,-2.231522889,-44.08451614,48184.73592,0.314715851,6324.236,1657365057.0,70.0,428426.0,307680.20878394856,5636244.759687147,47457.0,160.78,48184.64811426669,-607.5570549999975,428426
37,37,37.0,50.84582167,6.268058333,159.0856467,19.7744776,-2.393001757,-44.44029999,48701.54588,0.309619122,6500.652,1657365234.0,70.0,428426.0,307680.84557163407,5636236.572479409,47634.0,161.05,48701.45094081982,-90.74709499999881,428426
38,38,38.0,50.845765,6.268133333,157.5854607,19.02071242,-2.3949869,-44.53356252,48486.1175,0.28191131,6694.373,1657365427.0,70.0,428426.0,307685.8913789389,5636230.076845278,47827.0,160.97,48486.02480723371,-306.17547499999637,428426
39,39,39.0,50.84571333,6.268226667,159.585275,19.44861813,-1.229515423,-44.32940707,48425.42392,0.342014886,6842.126,1657365575.0,70.0,428426.0,307692.2482217749,5636224.089345367,47975.0,160.76,48425.33613171002,-366.86905499999557,428426
