,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,name
0,0,0.0,50.846614,6.268005767,157.8086297,19.71096156,3.425222525,-44.92873235,49245.34988,0.450306708,227.353,1657359788.0,70.0,428345.0,307680.40522803756,5636324.796890558,42188.0,156.71,428345
39,39,39.0,50.84660773,6.267998452,161.110472,19.68619987,2.967436906,-44.67659095,48913.387899999994,0.323988572,3274.666,1657362835.0,70.0,428345.0,307679.8645710207,5636324.118873453,45235.0,156.75,428345
109,109,109.0,50.84658102,6.268005518,153.2483387,19.87550062,3.808620112,-44.51095319,48897.038,0.310182802,6578.147,1657366138.0,70.0,428345.0,307680.25202572235,5636321.130978392,48538.0,156.85,428345
110,110,110.0,50.84659088,6.268015706,154.7087713,19.9409359,4.703738308,-44.54949384,49036.9879,0.340663822,6858.005,1657366418.0,70.0,428345.0,307681.00966666,5636322.200632105,48818.0,156.82,428345
