,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
0,0,0.0,50.84658669,6.26803773,157.9153512,19.9791057,3.495321233,-43.90974998,48369.07915,0.313987687,2979.027,1657359655.0,70.0,419784.0,307682.5425790491,5636321.677446763,42055.0,156.78,48369.07915,65.31579999999667,419784
1,1,1.0,50.84629401,6.268102383,155.300658,20.52753928,-0.308213227,-43.47060062,48075.69275,0.335224401,3395.205,1657360071.0,70.0,419784.0,307685.88914002443,5636288.9702820685,42471.0,157.56,48075.67509275228,-228.0705999999991,419784
2,2,2.0,50.84631198,6.268091741,156.3342037,18.34941077,0.741298853,-44.69500405,48322.019140000004,0.289055524,3682.092,1657360358.0,70.0,419784.0,307685.2140270325,5636290.995817924,42758.0,157.96,48321.99229089075,18.25579000000289,419784
3,3,3.0,50.84626571,6.268076173,153.9736709,19.81627955,-2.062824181,-43.47340028,47822.375219999994,0.324107445,4181.898,1657360858.0,70.0,419784.0,307683.92792913236,5636285.892283615,43258.0,157.88,47822.35044996385,-481.38813000000664,419784
4,4,4.0,50.84626571,6.268076173,155.4096583,19.57576833,-3.172628835,-43.26000911,47596.45315,0.336392153,4258.643,1657360934.0,70.0,419784.0,307683.92792913236,5636285.892283615,43334.0,157.88,47596.428496982255,-707.3101999999999,419784
5,5,5.0,50.84626571,6.268076173,156.5983595,20.03304498,-0.250635021,-43.54162908,47931.892120000004,0.258755876,4338.268,1657361014.0,70.0,419784.0,307683.92792913236,5636285.892283615,43414.0,157.88,47931.86729323858,-371.871229999997,419784
6,6,6.0,50.84621281,6.268000193,156.951108,20.24321341,-0.846759496,-43.39300009,47891.67421,0.25943632,4424.822,1657361100.0,70.0,419784.0,307678.3624485235,5636280.208999196,43500.0,158.26,47891.64083475244,-412.0891400000037,419784
7,7,7.0,50.84621061,6.267966345,157.1581741,20.70911086,2.659171677,-43.62676937,48369.82618,0.275207153,4537.759,1657361213.0,70.0,419784.0,307675.9710021574,5636280.052571458,43613.0,158.08,48369.796571209685,66.0628299999953,419784
8,8,8.0,50.84617263,6.267934579,158.4190124,19.74968788,-0.522406077,-43.72441374,47986.893299999996,0.340872138,4614.145,1657361290.0,70.0,419784.0,307673.5788989536,5636275.9128709035,43690.0,158.33,47986.858276698425,-316.870050000005,419784
9,9,9.0,50.8461543,6.267904731,158.3529424,21.67083135,-0.791384111,-42.68696752,47927.90413,0.34501173,4698.192,1657361374.0,70.0,419784.0,307671.40263178566,5636273.9527698085,43774.0,158.18,47927.872534935595,-375.85921999999846,419784
10,10,10.0,50.84612442,6.267901576,157.9589137,23.39814592,0.11078952,-42.0961034,48163.07782,0.2974019,4774.578,1657361450.0,70.0,419784.0,307671.05763910274,5636270.639070262,43850.0,158.69,48163.03450380485,-140.68553000000247,419784
11,11,11.0,50.84609505,6.267864977,158.3199675,24.55655098,-2.854171205,-40.50069253,47453.58391,0.285895339,4839.577,1657361515.0,70.0,419784.0,307668.3607783444,5636267.469179078,43915.0,158.56,47453.54413668957,-850.1794399999999,419784
12,12,12.0,50.84605648,6.267802988,159.0106227,23.17354971,-2.508261936,-41.44449686,47551.908169999995,0.34457207,4909.598,1657361585.0,70.0,419784.0,307663.8389800799,5636263.342609716,43985.0,158.52,47551.8692099126,-751.8551800000059,419784
13,13,13.0,50.84608785,6.267823841,160.0061874,19.48285209,-3.160474924,-43.44261306,47717.92325,0.288537197,4984.189,1657361660.0,70.0,419784.0,307665.4357867567,5636266.775862312,44060.0,158.33,47717.888423006596,-585.8401000000013,419784
14,14,14.0,50.84602766,6.267790242,160.5747135,20.0466804,0.540883201,-43.97308044,48331.121660000004,0.285679738,5048.233,1657361724.0,70.0,419784.0,307662.82327717205,5636260.171738091,44124.0,158.67,48331.078647827075,27.358310000003257,419784
15,15,15.0,50.84600536,6.267757463,160.2141749,18.1793369,-3.457267659,-43.97412545,47710.75968,0.301434695,5119.778,1657361795.0,70.0,419784.0,307660.4243664631,5636257.77790997,44195.0,158.64,47710.71789388599,-593.0036699999982,419784
16,16,16.0,50.8459756,6.267756924,159.4287601,23.82100239,1.934756211,-42.10255209,48414.14849,0.285564237,5174.907,1657361851.0,70.0,419784.0,307660.2639888306,5636254.470738047,44251.0,159.24,48414.09240973822,110.3851399999985,419784
