,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
0,0,0.0,50.84673588,6.26787807,127.7353484,19.90259356,1.134556375,-44.54741445,48807.11779,0.338287332,45.978,1657360562.0,70.0,433263.0,307671.91876272415,5636338.679527062,42962.0,156.55,48807.11779,234.73577999999543,433263
2,2,2.0,50.84630167,6.268085,107.4867931,19.35253037,0.596638271,-44.4708525,48509.41244,0.306370563,253.184,1657360770.0,70.0,433263.0,307684.69714896404,5636289.867157227,43170.0,157.66,48509.38708568859,-62.96957000000111,433263
3,3,3.0,50.84630167,6.268085,107.4867931,19.08507857,-4.533261878,-43.34731827,47594.20237,0.380160509,372.216,1657360889.0,70.0,433263.0,307684.69714896404,5636289.867157227,43289.0,157.66,47594.17749403949,-978.1796400000021,433263
4,4,4.0,50.84625833,6.268048333,108.6867118,18.96866365,-2.498355307,-43.81362217,47810.31151,0.32306008,457.415,1657360974.0,70.0,433263.0,307681.93804946565,5636285.144317857,43374.0,157.9,47810.28111808008,-762.0705000000016,433263
5,5,5.0,50.84623833,6.268033333,110.0866731,19.87497395,-1.786035623,-43.69248657,48037.79024,0.2965254,529.403,1657361046.0,70.0,433263.0,307680.79999677726,5636282.959879373,43446.0,158.0,48037.75744151344,-534.5917699999991,433263
6,6,6.0,50.84623,6.267996667,109.7866766,19.27136045,-0.193220983,-44.15271481,48177.85138,0.353854368,634.39,1657361151.0,70.0,433263.0,307678.18498843955,5636282.129285628,43551.0,158.01,48177.81825902885,-394.5306300000011,433263
7,7,7.0,50.84620667,6.26797,107.2866373,19.45747474,0.539081478,-44.15268113,48263.37476,0.326953464,731.267,1657361248.0,70.0,433263.0,307676.212050895,5636279.605021305,43648.0,158.08,48263.33998942389,-309.0072500000024,433263
8,8,8.0,50.84618833,6.26794,108.3866123,19.95407023,0.494882257,-43.86230224,48193.66651,0.324525928,814.03,1657361330.0,70.0,433263.0,307674.0250465038,5636277.644203302,43730.0,158.13,48193.630654992485,-378.7154999999984,433263
9,9,9.0,50.84618833,6.26794,108.3866123,19.01859651,-1.695385579,-43.68781548,47683.47904,0.372432665,905.849,1657361422.0,70.0,433263.0,307674.0250465038,5636277.644203302,43822.0,158.13,47683.44356456052,-888.9029700000028,433263
10,10,10.0,50.84613667,6.267883333,109.5865238,20.34104802,0.093836318,-43.73386105,48236.684310000004,0.385009657,972.289,1657361489.0,70.0,433263.0,307669.8239981127,5636272.048483215,43889.0,158.47,48236.64070047136,-335.697699999997,433263
