,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,name
0,0,0.0,50.84656507,6.267991564,157.8624923,21.97691187,-3.5817751,-46.04709625,51149.99765999999,0.353957281,26.28,1657360046.0,70.0,428349.0,307679.2042623478,5636319.3940759115,42446.0,156.87,428349
11,11,11.0,50.84659136,6.268018155,156.4875388,23.42533913,-1.126425365,-44.57834233,50372.30661,0.374103747,2306.251,1657362325.0,70.0,428349.0,307681.1840131001,5636322.247617858,44725.0,156.82,428349
23,23,23.0,50.84657169,6.268016833,150.4874919,21.61363975,-1.592789379,-45.58279522,50474.626809999994,0.316552127,4937.338,1657364957.0,70.0,428349.0,307681.0100445723,5636320.064243258,47357.0,156.85,428349
24,24,24.0,50.84658373,6.267978369,156.4875461,21.73305321,-1.367582134,-45.91080829,50814.84991,0.409544344,8840.797,1657368860.0,70.0,428349.0,307678.35230383114,5636321.502973149,51260.0,156.81,428349
