,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,name
0,0,0.0,50.84659833,6.268035,154.9875448,19.66281117,2.65053181,-44.80228075,49000.06338,0.264285028,105.588,1657360080.0,70.0,428402.0,307682.3983145233,5636322.978637196,42480.0,156.77,428402
11,11,11.0,50.84657,6.26804,153.3874728,19.8020468,-0.042374556,-44.54374025,48748.13636,0.333618137,1577.345,1657361552.0,70.0,428402.0,307682.6336918246,5636319.8160192305,43952.0,156.8,428402
23,23,23.0,50.84660667,6.26802,159.3875747,18.77266167,-0.120310061,-44.48035573,48280.811200000004,0.320188862,3802.849,1657363778.0,70.0,428402.0,307681.37685614766,5636323.94490611,46178.0,156.76,428402
24,24,24.0,50.84657667,6.267976667,151.98753,19.07082936,0.086113351,-44.50745272,48422.35598,0.261917986,3946.911,1657363922.0,70.0,428402.0,307678.2034648355,5636320.722508584,46322.0,156.85,428402
