,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
0,0,0.0,50.84656507,6.267991564,157.8624923,21.97691187,-3.5817751,-46.04709625,51149.99765999999,0.353957281,26.28,1657360046.0,70.0,428349.0,307679.2042623478,5636319.3940759115,42446.0,156.87,51149.99765999999,447.0524125000011,428349
1,1,1.0,50.8463609,6.268056254,154.4869554,22.29697094,1.159162807,-45.02524436,50258.10983,0.321086017,287.064,1657360306.0,70.0,428349.0,307682.91752309556,5636296.526935935,42706.0,158.01,50258.082851748244,-444.8354174999913,428349
2,2,2.0,50.84631618,6.268013594,156.4868746,22.25689387,4.093041004,-45.12624468,50490.19329,0.29347703,411.348,1657360431.0,70.0,428349.0,307679.73093059787,5636291.666284336,42831.0,157.28,50490.18354248774,-212.75195749998966,428349
3,3,3.0,50.84627541,6.26799998,154.4867846,22.76676192,-0.862236861,-44.82297167,50282.008140000005,0.333299867,518.279,1657360538.0,70.0,428349.0,307678.60498612945,5636287.16912605,42938.0,157.78,50281.98659448705,-420.9371074999872,428349
4,4,4.0,50.84622585,6.267964907,155.4866871,22.24438951,0.570165048,-45.20464859,50385.47096,0.285938777,667.77,1657360687.0,70.0,428349.0,307675.9324848399,5636281.750627931,43087.0,157.94,50385.44557413825,-317.4742874999938,428349
5,5,5.0,50.8461823,6.267913293,152.7088372,22.24668495,-0.214042159,-45.06708875,50260.73728,0.315845356,838.01,1657360857.0,70.0,428349.0,307672.1204624787,5636277.043376847,43257.0,158.12,50260.707697038124,-442.20796749999135,428349
6,6,6.0,50.84616676,6.267874555,152.4866024,23.13085076,-0.666224449,-44.38316073,50054.8517,0.290764139,1128.273,1657361148.0,70.0,428349.0,307669.3299490269,5636275.416610452,43548.0,157.97,50054.825773632634,-648.0935474999933,428349
7,7,7.0,50.84608736,6.267795953,154.4864609,23.84495237,-0.869397157,-43.94583953,50013.462779999994,0.252767617,1297.179,1657361316.0,70.0,428349.0,307663.4708652536,5636266.794026018,43716.0,158.08,50013.43428457841,-689.4824674999982,428349
8,8,8.0,50.8460643,6.267739656,153.4864414,23.28952727,0.084214228,-44.42302802,50159.16127,0.350083783,1570.925,1657361590.0,70.0,428349.0,307659.4135082248,5636264.376962876,43990.0,157.74,50159.14072186756,-543.7839774999957,428349
9,9,9.0,50.84601225,6.267716082,155.4863305,23.01095088,0.51507616,-44.33396993,49954.12107,0.286864043,1708.622,1657361728.0,70.0,428349.0,307657.5400943726,5636258.65169516,44128.0,158.4,49954.08508135457,-748.8241774999915,428349
10,10,10.0,50.84598188,6.267642512,157.4863046,22.65241462,2.635451044,-44.39756497,49913.353780000005,0.334334107,1914.675,1657361934.0,70.0,428349.0,307652.2368839601,5636255.466938734,44334.0,157.91,49913.32933709016,-789.5914674999876,428349
11,11,11.0,50.84659136,6.268018155,156.4875388,23.42533913,-1.126425365,-44.57834233,50372.30661,0.374103747,2306.251,1657362325.0,70.0,428349.0,307681.1840131001,5636322.247617858,44725.0,156.82,50372.30779594569,-330.6386374999929,428349
12,12,12.0,50.84590445,6.267593537,157.4861486,23.19498002,-0.681162558,-44.1903074,49915.014050000005,0.272383218,3109.435,1657363129.0,70.0,428349.0,307648.47117092845,5636246.986212023,45529.0,158.32,49914.97996981383,-787.9311974999873,428349
13,13,13.0,50.84587632,6.267540901,158.4861145,23.35703199,-0.744156688,-44.36440729,50144.23185,0.316722342,3222.843,1657363242.0,70.0,428349.0,307644.6506126448,5636243.995964806,45642.0,158.36,50144.19666885221,-558.7133974999961,428349
14,14,14.0,50.84582653,6.267503947,157.4860177,21.04127876,-1.406023492,-45.47998379,50132.999859999996,0.308290577,3365.7,1657363385.0,70.0,428349.0,307641.84471545287,5636238.556812702,45785.0,158.52,50132.96090973934,-569.9453874999963,428349
15,15,15.0,50.84575973,6.267423862,159.4859076,20.78231343,-1.459525059,-45.36781823,49923.940389999996,0.373406539,3614.555,1657363634.0,70.0,428349.0,307635.93301239586,5636231.338929047,46034.0,158.6,49923.89972154445,-779.0048574999964,428349
16,16,16.0,50.84568511,6.267366882,156.4857636,21.51618186,-2.981356134,-45.13077409,50088.45869,0.307152337,3713.78,1657363733.0,70.0,428349.0,307631.6153819456,5636223.191469749,46133.0,158.97,50088.40916099164,-614.4865574999931,428349
17,17,17.0,50.8456624,6.267295895,156.4857545,21.29348365,-1.643540922,-45.40844895,50181.41365,0.349848268,3834.505,1657363854.0,70.0,428349.0,307626.5254473649,5636220.851611857,46254.0,158.93,50181.36497423481,-521.5315974999903,428349
18,18,18.0,50.8456089,6.267245194,157.4856577,21.03067333,-0.86633016,-45.52514621,50157.22525,0.31440464,3945.201,1657363964.0,70.0,428349.0,307622.7366573572,5636215.035822869,46364.0,159.28,50157.16833153582,-545.7199974999894,428349
19,19,19.0,50.84557466,6.267214292,154.4855947,21.18029352,-0.213583456,-45.70004643,50371.02214,0.284234263,4053.233,1657364072.0,70.0,428349.0,307620.42068948806,5636211.309689865,46472.0,159.34,50370.963555822564,-331.9231074999916,428349
20,20,20.0,50.84555503,6.267144932,154.485592,21.16804284,-1.084437197,-45.63287691,50317.009300000005,0.301140136,4202.881,1657364222.0,70.0,428349.0,307615.4579309755,5636209.308023441,46622.0,159.4,50316.94935707206,-385.9359474999874,428349
21,21,21.0,50.8454656,6.267123353,148.2631669,21.06870635,-0.567211781,-45.55032381,50191.82761,0.311327319,4371.744,1657364391.0,70.0,428349.0,307613.5710495318,5636199.4218419455,46791.0,159.53,50191.76474379562,-511.11763749999227,428349
22,22,22.0,50.84544908,6.267041906,153.4854019,21.34325709,-1.66180251,-45.54720246,50328.801069999994,0.267340494,4524.071,1657364543.0,70.0,428349.0,307607.7703168383,5636197.797428575,46943.0,159.6,50328.73637334665,-374.1441774999985,428349
23,23,23.0,50.84657169,6.268016833,150.4874919,21.61363975,-1.592789379,-45.58279522,50474.626809999994,0.316552127,4937.338,1657364957.0,70.0,428349.0,307681.0100445723,5636320.064243258,47357.0,156.85,50474.62728534186,-228.31843749999825,428349
24,24,24.0,50.84658373,6.267978369,156.4875461,21.73305321,-1.367582134,-45.91080829,50814.84991,0.409544344,8840.797,1657368860.0,70.0,428349.0,307678.35230383114,5636321.502973149,51260.0,156.81,50814.85134563772,111.90466250000463,428349
25,25,25.0,50.84540246,6.266940369,154.4853546,21.43577121,-0.490767884,-45.50028283,50300.45035,0.343908802,9332.21,1657369351.0,70.0,428349.0,307600.4316448907,5636192.87899178,51751.0,159.21,50300.39492695685,-402.4948974999934,428349
26,26,26.0,50.84534096,6.266852404,154.2630402,21.77891535,-0.753775345,-45.32282513,50291.468160000004,0.388319427,9527.823,1657369547.0,70.0,428349.0,307593.98700351623,5636186.270913964,51947.0,159.27,50291.41132600496,-411.47708749998856,428349
27,27,27.0,50.84525314,6.266807752,158.4850784,21.58652594,-1.815387188,-45.39852121,50303.28729,0.276577105,9623.21,1657369642.0,70.0,428349.0,307590.4826739513,5636176.623851666,52042.0,159.72,50303.21978377935,-399.65795749999234,428349
28,28,28.0,50.84518178,6.266727983,158.4849571,21.36176575,-1.717543517,-45.85215536,50614.83225,0.326367182,9732.128,1657369751.0,70.0,428349.0,307584.57430887327,5636168.898241046,52151.0,159.95,50614.7588440853,-88.11299749999307,428349
29,29,29.0,50.84511543,6.266662392,155.4848387,21.47804895,-1.340011638,-45.57179756,50398.78104,0.315407602,9842.808,1657369862.0,70.0,428349.0,307579.684491009,5636161.692679521,52262.0,160.07,50398.70509966107,-304.1642074999909,428349
