,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,field_alt,anomaly,name
0,0,0.0,50.84659631,6.267998891,156.5785633,18.81524386,6.620187364,-42.73531941,47164.7147,0.357572052,3193.791,1657359709.0,70.0,403196.0,307679.84848892293,5636322.848108398,42109.0,156.77,47164.7147,-568.1463824999955,403196
1,1,1.0,50.84624819,6.268153667,159.4369804,19.91629859,4.171751237,-43.16645971,47753.13181,0.410487459,3808.866,1657360325.0,70.0,403196.0,307689.31027657585,5636283.742667761,42725.0,157.99,47753.104377556905,20.270727500006615,403196
2,2,2.0,50.84623361,6.268141549,158.6044978,19.85795103,0.499489093,-43.21225363,47561.4939,0.319299845,3857.624,1657360373.0,70.0,403196.0,307688.3973728282,5636282.153291931,42773.0,158.17,47561.462546480725,-171.36718249999103,403196
4,4,4.0,50.84612998,6.268338409,155.6955972,16.87823772,-0.451643855,-43.29352477,46471.66715,0.290549,4055.106,1657360571.0,70.0,403196.0,307701.8271135024,5636270.119519924,42971.0,158.63,46471.62644910993,-1261.1939324999912,403196
6,6,6.0,50.8460543,6.268485404,155.9491942,18.84497732,0.880881602,-44.03921291,47911.14862,0.307391485,4289.965,1657360806.0,70.0,403196.0,307711.8621107027,5636261.32298293,43206.0,158.47,47911.110267980665,178.2875375000076,403196
10,10,10.0,50.84582494,6.268771603,156.3937551,18.70085117,1.475093712,-43.66537601,47525.83575,0.321965642,4750.106,1657361266.0,70.0,403196.0,307731.06304218684,5636235.078583802,43666.0,159.29,47525.779355996994,-207.02533249999397,403196
11,11,11.0,50.84580626,6.268844399,159.1936105,17.88216032,0.281947388,-43.97491613,47473.77625,0.398230676,4838.826,1657361355.0,70.0,403196.0,307736.1100177383,5636232.812287506,43755.0,159.03,47473.72572982192,-259.0848324999897,403196
12,12,12.0,50.84573513,6.268894817,158.5812831,16.67466371,-0.8835031,-43.5044687,46600.77956,0.322336464,4963.52,1657361479.0,70.0,403196.0,307739.3662031749,5636224.77311711,43879.0,159.36,46600.722727657645,-1132.0815224999897,403196
14,14,14.0,50.84562052,6.269006907,159.1332465,18.06940517,1.651157502,-42.99080118,46664.60898,0.355865593,5140.925,1657361657.0,0.0,403196.0,307746.7844384189,5636211.739479488,44057.0,158.88,46664.5626168685,-1068.252102499995,403196
16,16,16.0,50.84658437,6.268022843,157.3250941,16.66102582,1.038370361,-44.37933093,47418.01251,0.441114361,5256.306,1657361772.0,70.0,403196.0,307681.48521988536,5636321.458292863,44172.0,156.83,47418.01117033086,-314.84857249999186,403196
18,18,18.0,50.84610342,6.268228373,161.1987271,13.62735243,0.00382482,-46.3934657,48356.91485,0.531240286,5899.846,1657362416.0,70.0,403196.0,307693.9729461768,5636267.453264444,44816.0,159.61,48356.85018347833,624.0537675000087,403196
19,19,19.0,50.84609776,6.268227285,160.5990211,17.04110601,-2.814841686,-44.49634563,47732.446619999995,0.288396309,6004.219,1657362520.0,70.0,403196.0,307693.87308433745,5636266.8268458545,44920.0,159.61,47732.38278856445,-0.4144624999971711,403196
20,20,20.0,50.84609513,6.268228081,160.5862363,16.36687779,-2.330051618,-44.53234476,47503.47225,0.383812206,6139.848,1657362656.0,70.0,403196.0,307693.91829242837,5636266.532381864,45056.0,159.61,47503.40872476628,-229.38883249999344,403196
21,21,21.0,50.84593346,6.268304177,157.523329,16.3308307,-2.048430109,-44.31231259,47271.307649999995,0.303731841,6255.007,1657362771.0,70.0,403196.0,307698.6093160334,5636248.36050176,45171.0,160.54,47271.22373464897,-461.55343249999714,403196
22,22,22.0,50.84572849,6.268612962,163.3468779,17.67313742,-2.537194572,-44.12179947,47599.17761,0.307693934,6375.343,1657362891.0,70.0,403196.0,307719.5002884499,5636224.768806055,45291.0,160.99,47599.08302673795,-133.6834724999935,403196
23,23,23.0,50.84572809,6.268613758,163.319041,16.49421056,-2.226382136,-44.62534485,47631.991030000005,0.336431561,6622.437,1657363138.0,70.0,403196.0,307719.55467042164,5636224.722263217,45538.0,160.99,47631.89638153514,-100.87005249998765,403196
24,24,24.0,50.84579973,6.268557868,160.67749,18.77066065,-0.373807929,-43.5080519,47387.023929999996,0.28969297,6721.042,1657363237.0,70.0,403196.0,307715.91546151636,5636232.832395125,45637.0,160.77,47386.93467720121,-345.8371524999966,403196
25,25,25.0,50.84580037,6.268557458,161.0073359,26.68925171,-0.581624649,-39.3015467,47528.169409999995,1.392821287,6817.616,1657363333.0,70.0,403196.0,307715.8892356935,5636232.904614935,45733.0,160.77,47528.079891355665,-204.69167249999737,403196
26,26,26.0,50.84580193,6.268556749,160.9923866,17.21292305,-1.989857798,-43.38458012,46717.99316,0.34822629,6909.551,1657363425.0,70.0,403196.0,307715.845748516,5636233.07989459,45825.0,160.77,46717.905167311335,-1014.8679224999942,403196
28,28,28.0,50.84596225,6.268407393,161.9389067,17.95138787,-2.421664296,-43.564131,47181.4385,0.272620319,7088.79,1657363604.0,70.0,403196.0,307705.99265173724,5636251.292445777,46004.0,160.37,47181.358520966634,-551.4225824999958,403196
29,29,29.0,50.84596618,6.268403121,161.7005937,18.52672988,-1.060856994,-44.48065447,48198.00938,0.25420065,7182.306,1657363698.0,70.0,403196.0,307705.70812999236,5636251.740489432,46098.0,160.36,48197.9279046895,465.1482975000108,403196
30,30,30.0,50.84608003,6.268208787,161.1131118,20.18823321,-0.236475751,-43.8728823,48296.74274,0.406889152,7301.512,1657363817.0,70.0,403196.0,307692.4981634819,5636264.903882577,46217.0,159.75,48296.674970128406,563.8816575000092,403196
32,32,32.0,50.84607855,6.268215349,157.121208,19.99816251,1.56020281,-43.66242561,48050.8558,0.291642317,7680.966,1657364197.0,70.0,403196.0,307692.95394393534,5636264.722253713,46597.0,159.75,48050.78837515636,317.9947175000052,403196
33,33,33.0,50.84607804,6.268210399,157.0461469,19.04987237,-0.38134739,-43.99391779,47944.1506,0.295923073,8012.949,1657364529.0,70.0,403196.0,307692.60343863524,5636264.678445635,46929.0,159.75,47944.08332488484,211.28951750000851,403196
34,34,34.0,50.84607752,6.268204115,156.8861826,18.38616946,-2.054497422,-44.02020787,47752.44767,0.300038113,8151.11,1657364667.0,70.0,403196.0,307692.15899816033,5636264.636999981,47067.0,159.75,47752.38066388192,19.586587500009045,403196
35,35,35.0,50.8460793,6.26819809,156.9326055,19.65074046,1.486238113,-43.90250255,48124.48829,0.314797871,8252.686,1657364768.0,70.0,403196.0,307691.74224871927,5636264.850582979,47168.0,159.75,48124.420761835434,391.6272075000088,403196
36,36,36.0,50.84607933,6.268194011,158.0995224,19.41683549,1.166064041,-44.21464462,48305.62101,0.273323716,8371.642,1657364887.0,70.0,403196.0,307691.4552703726,5636264.864541263,47287.0,159.73,48305.553682584985,572.7599275000102,403196
