,Unnamed: 0,station,lat,lon,altitude,magx,magy,magz,field,mag_abs_std,time,unix_time,mag_count,student_id_list,x,y,times,z_dem,name
0,0,0.0,50.84658669,6.26803773,157.9153512,19.9791057,3.495321233,-43.90974998,48369.07915,0.313987687,2979.027,1657359655.0,70.0,419784.0,307682.5425790491,5636321.677446763,42055.0,156.78,419784
24,24,24.0,50.84659121,6.268047151,152.6484241,21.04942597,-0.695408746,-43.14815053,48015.60789,0.291361902,6087.215,1657362763.0,70.0,419784.0,307683.22426656703,5636322.155422421,45163.0,156.78,419784
42,42,42.0,50.84659341,6.26804458,150.127756,20.76868771,0.565331285,-43.61711181,48314.39084,0.287582237,7464.291,1657364140.0,70.0,419784.0,307683.05235833593,5636322.406704089,46540.0,156.78,419784
69,69,69.0,50.84663869,6.268067624,158.9570243,20.99674941,1.127313907,-43.7201531,48515.97552,0.343453766,9878.032,1657366554.0,70.0,419784.0,307684.8605733508,5636327.380703922,48954.0,156.61,419784
