,station,lat,lon,altitude,magx,magy,magz,mag_abs,mag_abs_std,time,unix_time,mag_count,student_id_list
0,0.0,50.84624598,6.267982157,109.8279012,16.78924803,1.43580687,-45.09122195,48.13869847,0.153192595,33.298,1657360630.0,70.0,404130.0
1,1.0,50.8462613,6.267953796,108.5923358,19.6234299,3.596810974,-43.79258036,48.12461935,0.339107806,139.848,1657360736.0,70.0,404130.0
2,2.0,50.84620559,6.267926275,108.8984278,21.0802439,-3.526052816,-41.5883225,46.76105232,0.348591227,419.682,1657361016.0,70.0,404130.0
3,3.0,50.84618167,6.267888333,109.8866297,13.20634841,1.338670315,-45.50175678,47.40365966,0.368099283,420.444,1657361017.0,0.0,404130.0
4,4.0,50.84615667,6.267841667,109.1865993,22.40119662,6.581123672,-42.40950029,48.41756766,0.312652422,499.265,1657361096.0,70.0,404130.0
5,5.0,50.846115,6.267795,109.0865285,18.59869213,6.525545679,-44.3453367,48.53479244,0.347976642,584.256,1657361181.0,70.0,404130.0
6,6.0,50.84608833,6.267811667,109.2864531,20.85142999,2.640517896,-42.90955184,47.8061803,0.412327839,656.998,1657361253.0,70.0,404130.0
7,7.0,50.84604833,6.267755,108.4863928,18.68256174,8.881820038,-44.10385274,48.9665644,0.974216837,759.297,1657361356.0,70.0,404130.0
8,8.0,50.846017,6.267718778,107.5263403,18.48549042,9.240835156,-44.18024799,49.07128519,0.849763637,837.763,1657361434.0,70.0,404130.0
9,9.0,50.84598991,6.267691944,108.0196253,16.86660833,-6.999711418,-42.20260288,45.9864412,0.331219837,926.415,1657361523.0,70.0,404130.0
