,station,lat,lon,altitude,magx,magy,magz,mag_abs,mag_abs_std,time,unix_time,mag_count,student_id_list
0,0.0,50.84656507,6.267991564,157.8624923,21.97691187,-3.5817751,-46.04709625,51.14999766,0.353957281,26.28,1657360046.0,70.0,428349.0
1,1.0,50.8463609,6.268056254,154.4869554,22.29697094,1.159162807,-45.02524436,50.25810983,0.321086017,287.064,1657360306.0,70.0,428349.0
2,2.0,50.84631618,6.268013594,156.4868746,22.25689387,4.093041004,-45.12624468,50.49019329,0.29347703,411.348,1657360431.0,70.0,428349.0
3,3.0,50.84627541,6.26799998,154.4867846,22.76676192,-0.862236861,-44.82297167,50.28200814,0.333299867,518.279,1657360538.0,70.0,428349.0
4,4.0,50.84622585,6.267964907,155.4866871,22.24438951,0.570165048,-45.20464859,50.38547096,0.285938777,667.77,1657360687.0,70.0,428349.0
5,5.0,50.8461823,6.267913293,152.7088372,22.24668495,-0.214042159,-45.06708875,50.26073728,0.315845356,838.01,1657360857.0,70.0,428349.0
6,6.0,50.84616676,6.267874555,152.4866024,23.13085076,-0.666224449,-44.38316073,50.0548517,0.290764139,1128.273,1657361148.0,70.0,428349.0
7,7.0,50.84608736,6.267795953,154.4864609,23.84495237,-0.869397157,-43.94583953,50.01346278,0.252767617,1297.179,1657361316.0,70.0,428349.0
8,8.0,50.8460643,6.267739656,153.4864414,23.28952727,0.084214228,-44.42302802,50.15916127,0.350083783,1570.925,1657361590.0,70.0,428349.0
9,9.0,50.84601225,6.267716082,155.4863305,23.01095088,0.51507616,-44.33396993,49.95412107,0.286864043,1708.622,1657361728.0,70.0,428349.0
10,10.0,50.84598188,6.267642512,157.4863046,22.65241462,2.635451044,-44.39756497,49.91335378,0.334334107,1914.675,1657361934.0,70.0,428349.0
11,11.0,50.84659136,6.268018155,156.4875388,23.42533913,-1.126425365,-44.57834233,50.37230661,0.374103747,2306.251,1657362325.0,70.0,428349.0
12,12.0,50.84590445,6.267593537,157.4861486,23.19498002,-0.681162558,-44.1903074,49.91501405,0.272383218,3109.435,1657363129.0,70.0,428349.0
13,13.0,50.84587632,6.267540901,158.4861145,23.35703199,-0.744156688,-44.36440729,50.14423185,0.316722342,3222.843,1657363242.0,70.0,428349.0
14,14.0,50.84582653,6.267503947,157.4860177,21.04127876,-1.406023492,-45.47998379,50.13299986,0.308290577,3365.7,1657363385.0,70.0,428349.0
15,15.0,50.84575973,6.267423862,159.4859076,20.78231343,-1.459525059,-45.36781823,49.92394039,0.373406539,3614.555,1657363634.0,70.0,428349.0
16,16.0,50.84568511,6.267366882,156.4857636,21.51618186,-2.981356134,-45.13077409,50.08845869,0.307152337,3713.78,1657363733.0,70.0,428349.0
17,17.0,50.8456624,6.267295895,156.4857545,21.29348365,-1.643540922,-45.40844895,50.18141365,0.349848268,3834.505,1657363854.0,70.0,428349.0
18,18.0,50.8456089,6.267245194,157.4856577,21.03067333,-0.86633016,-45.52514621,50.15722525,0.31440464,3945.201,1657363964.0,70.0,428349.0
19,19.0,50.84557466,6.267214292,154.4855947,21.18029352,-0.213583456,-45.70004643,50.37102214,0.284234263,4053.233,1657364072.0,70.0,428349.0
20,20.0,50.84555503,6.267144932,154.485592,21.16804284,-1.084437197,-45.63287691,50.3170093,0.301140136,4202.881,1657364222.0,70.0,428349.0
21,21.0,50.8454656,6.267123353,148.2631669,21.06870635,-0.567211781,-45.55032381,50.19182761,0.311327319,4371.744,1657364391.0,70.0,428349.0
22,22.0,50.84544908,6.267041906,153.4854019,21.34325709,-1.66180251,-45.54720246,50.32880107,0.267340494,4524.071,1657364543.0,70.0,428349.0
23,23.0,50.84657169,6.268016833,150.4874919,21.61363975,-1.592789379,-45.58279522,50.47462681,0.316552127,4937.338,1657364957.0,70.0,428349.0
24,24.0,50.84658373,6.267978369,156.4875461,21.73305321,-1.367582134,-45.91080829,50.81484991,0.409544344,8840.797,1657368860.0,70.0,428349.0
25,25.0,50.84540246,6.266940369,154.4853546,21.43577121,-0.490767884,-45.50028283,50.30045035,0.343908802,9332.21,1657369351.0,70.0,428349.0
26,26.0,50.84534096,6.266852404,154.2630402,21.77891535,-0.753775345,-45.32282513,50.29146816,0.388319427,9527.823,1657369547.0,70.0,428349.0
27,27.0,50.84525314,6.266807752,158.4850784,21.58652594,-1.815387188,-45.39852121,50.30328729,0.276577105,9623.21,1657369642.0,70.0,428349.0
28,28.0,50.84518178,6.266727983,158.4849571,21.36176575,-1.717543517,-45.85215536,50.61483225,0.326367182,9732.128,1657369751.0,70.0,428349.0
29,29.0,50.84511543,6.266662392,155.4848387,21.47804895,-1.340011638,-45.57179756,50.39878104,0.315407602,9842.808,1657369862.0,70.0,428349.0
30,30.0,50.84508215,6.266697138,157.4847355,21.79120778,-1.759545493,-45.69747276,50.66028502,0.275444745,9976.342,1657369996.0,70.0,428349.0
31,31.0,50.84499775,6.26675859,153.484491,21.67352063,-2.441945001,-45.56527846,50.51792668,0.307196767,10149.532,1657370169.0,70.0,428349.0
32,32.0,50.84490017,6.266919559,156.4841502,22.16133532,-1.751140138,-45.68494552,50.80833806,0.302247312,10302.357,1657370322.0,70.0,428349.0
33,33.0,50.84480887,6.267030819,156.4838567,22.02460722,-0.791345869,-45.43368443,50.49823456,0.325084397,10433.367,1657370453.0,70.0,428349.0
34,34.0,50.84468769,6.267221101,157.4834397,22.24922654,-0.807116188,-45.27362709,50.45295922,0.297797763,10568.789,1657370588.0,70.0,428349.0
35,35.0,50.8444967,6.267414393,159.3161848,15.28604659,-0.256601947,-48.7091241,51.05762825,0.339391892,10656.106,1657370675.0,70.0,428349.0
36,36.0,50.84449561,6.267547669,160.4827625,15.57693199,-0.611177933,-48.87301543,51.30003591,0.291228154,10838.596,1657370858.0,70.0,428349.0
37,37.0,50.8445083,6.267678639,157.4827085,20.5980117,-1.684814339,-45.76344327,50.21494538,0.348896279,11057.551,1657371077.0,70.0,428349.0
38,38.0,50.84461616,6.26781524,162.4828815,20.05725002,-1.121364152,-45.96992079,50.16912531,0.330844426,11180.743,1657371200.0,70.0,428349.0
39,39.0,50.84472981,6.268009129,162.4830315,20.44190715,-0.89630223,-46.08751292,50.42652588,0.258280538,11320.686,1657371340.0,70.0,428349.0
40,40.0,50.84487803,6.268219617,157.4832546,20.10424271,-0.629072678,-46.06115712,50.26250681,0.369777226,11483.11,1657371502.0,70.0,428349.0
